"File_250827_145425 - RawData"
"Wavelength nm."	"Abs."
350.00	-0.0143
351.00	-0.0203
352.00	-0.0248
353.00	-0.0296
354.00	-0.0350
355.00	-0.0393
356.00	-0.0431
357.00	-0.0473
358.00	-0.0516
359.00	-0.0535
360.00	-0.0558
361.00	-0.0585
362.00	-0.0602
363.00	-0.0629
364.00	-0.0630
365.00	-0.0645
366.00	-0.0654
367.00	-0.0649
368.00	-0.0630
369.00	-0.0604
370.00	-0.0569
371.00	-0.0540
372.00	-0.0490
373.00	-0.0444
374.00	-0.0394
375.00	-0.0355
376.00	-0.0317
377.00	-0.0290
378.00	-0.0267
379.00	-0.0250
380.00	-0.0231
381.00	-0.0221
382.00	-0.0202
383.00	-0.0197
384.00	-0.0191
385.00	-0.0184
386.00	-0.0182
387.00	-0.0181
388.00	-0.0176
389.00	-0.0178
390.00	-0.0180
391.00	-0.0179
392.00	-0.0172
393.00	-0.0176
394.00	-0.0162
395.00	-0.0155
396.00	-0.0145
397.00	-0.0128
398.00	-0.0113
399.00	-0.0092
400.00	-0.0075
401.00	-0.0060
402.00	-0.0047
403.00	-0.0031
404.00	-0.0026
405.00	-0.0017
406.00	-0.0014
407.00	-0.0013
408.00	-0.0014
409.00	-0.0017
410.00	-0.0020
411.00	-0.0025
412.00	-0.0029
413.00	-0.0031
414.00	-0.0038
415.00	-0.0042
416.00	-0.0046
417.00	-0.0048
418.00	-0.0053
419.00	-0.0057
420.00	-0.0062
421.00	-0.0062
422.00	-0.0065
423.00	-0.0070
424.00	-0.0072
425.00	-0.0075
426.00	-0.0075
427.00	-0.0083
428.00	-0.0081
429.00	-0.0083
430.00	-0.0086
431.00	-0.0088
432.00	-0.0088
433.00	-0.0090
434.00	-0.0088
435.00	-0.0092
436.00	-0.0092
437.00	-0.0092
438.00	-0.0090
439.00	-0.0091
440.00	-0.0093
441.00	-0.0092
442.00	-0.0093
443.00	-0.0092
444.00	-0.0091
445.00	-0.0092
446.00	-0.0088
447.00	-0.0085
448.00	-0.0087
449.00	-0.0085
450.00	-0.0083
451.00	-0.0082
452.00	-0.0078
453.00	-0.0077
454.00	-0.0073
455.00	-0.0070
456.00	-0.0066
457.00	-0.0062
458.00	-0.0060
459.00	-0.0057
460.00	-0.0053
461.00	-0.0044
462.00	-0.0041
463.00	-0.0037
464.00	-0.0030
465.00	-0.0029
466.00	-0.0019
467.00	-0.0013
468.00	-0.0005
469.00	0.0004
470.00	0.0012
471.00	0.0024
472.00	0.0033
473.00	0.0043
474.00	0.0056
475.00	0.0067
476.00	0.0080
477.00	0.0096
478.00	0.0106
479.00	0.0126
480.00	0.0143
481.00	0.0157
482.00	0.0173
483.00	0.0192
484.00	0.0207
485.00	0.0223
486.00	0.0244
487.00	0.0261
488.00	0.0282
489.00	0.0297
490.00	0.0318
491.00	0.0337
492.00	0.0358
493.00	0.0378
494.00	0.0400
495.00	0.0425
496.00	0.0449
497.00	0.0478
498.00	0.0506
499.00	0.0537
500.00	0.0571
501.00	0.0613
502.00	0.0650
503.00	0.0695
504.00	0.0743
505.00	0.0794
506.00	0.0848
507.00	0.0904
508.00	0.0963
509.00	0.1026
510.00	0.1090
511.00	0.1156
512.00	0.1226
513.00	0.1292
514.00	0.1356
515.00	0.1424
516.00	0.1489
517.00	0.1550
518.00	0.1613
519.00	0.1668
520.00	0.1723
521.00	0.1772
522.00	0.1819
523.00	0.1857
524.00	0.1891
525.00	0.1921
526.00	0.1945
527.00	0.1966
528.00	0.1984
529.00	0.2001
530.00	0.2020
531.00	0.2039
532.00	0.2063
533.00	0.2094
534.00	0.2133
535.00	0.2179
536.00	0.2239
537.00	0.2312
538.00	0.2389
539.00	0.2483
540.00	0.2583
541.00	0.2690
542.00	0.2809
543.00	0.2931
544.00	0.3059
545.00	0.3199
546.00	0.3341
547.00	0.3484
548.00	0.3632
549.00	0.3782
550.00	0.3927
551.00	0.4070
552.00	0.4210
553.00	0.4343
554.00	0.4464
555.00	0.4580
556.00	0.4674
557.00	0.4756
558.00	0.4812
559.00	0.4839
560.00	0.4839
561.00	0.4807
562.00	0.4742
563.00	0.4637
564.00	0.4483
565.00	0.4285
566.00	0.4049
567.00	0.3775
568.00	0.3466
569.00	0.3147
570.00	0.2814
571.00	0.2483
572.00	0.2172
573.00	0.1884
574.00	0.1603
575.00	0.1362
576.00	0.1147
577.00	0.0958
578.00	0.0793
579.00	0.0653
580.00	0.0526
581.00	0.0422
582.00	0.0334
583.00	0.0256
584.00	0.0192
585.00	0.0140
586.00	0.0094
587.00	0.0056
588.00	0.0027
589.00	0.0002
590.00	-0.0023
591.00	-0.0038
592.00	-0.0056
593.00	-0.0068
594.00	-0.0079
595.00	-0.0089
596.00	-0.0096
597.00	-0.0102
598.00	-0.0108
599.00	-0.0111
600.00	-0.0115
601.00	-0.0120
602.00	-0.0122
603.00	-0.0120
604.00	-0.0126
605.00	-0.0127
606.00	-0.0128
607.00	-0.0129
608.00	-0.0130
609.00	-0.0132
610.00	-0.0133
611.00	-0.0133
612.00	-0.0132
613.00	-0.0135
614.00	-0.0134
615.00	-0.0134
616.00	-0.0135
617.00	-0.0136
618.00	-0.0134
619.00	-0.0133
620.00	-0.0137
621.00	-0.0135
622.00	-0.0134
623.00	-0.0135
624.00	-0.0138
625.00	-0.0137
626.00	-0.0138
627.00	-0.0137
628.00	-0.0139
629.00	-0.0138
630.00	-0.0139
631.00	-0.0139
632.00	-0.0138
633.00	-0.0137
634.00	-0.0139
635.00	-0.0139
636.00	-0.0134
637.00	-0.0139
638.00	-0.0140
639.00	-0.0139
640.00	-0.0138
641.00	-0.0139
642.00	-0.0137
643.00	-0.0137
644.00	-0.0136
645.00	-0.0137
646.00	-0.0137
647.00	-0.0138
648.00	-0.0136
649.00	-0.0136
650.00	-0.0134
651.00	-0.0138
652.00	-0.0136
653.00	-0.0138
654.00	-0.0138
655.00	-0.0137
656.00	-0.0137
657.00	-0.0139
658.00	-0.0136
659.00	-0.0139
660.00	-0.0138
661.00	-0.0140
662.00	-0.0141
