"File_250827_160157 - RawData"
"Wavelength nm."	"Abs."
350.00	-0.0002
351.00	0.0001
352.00	0.0002
353.00	-0.0000
354.00	-0.0002
355.00	0.0002
356.00	0.0003
357.00	-0.0004
358.00	-0.0008
359.00	-0.0001
360.00	-0.0006
361.00	-0.0005
362.00	0.0002
363.00	0.0000
364.00	-0.0003
365.00	-0.0001
366.00	-0.0013
367.00	-0.0000
368.00	-0.0005
369.00	0.0002
370.00	0.0005
371.00	-0.0004
372.00	-0.0011
373.00	-0.0000
374.00	-0.0003
375.00	0.0002
376.00	-0.0001
377.00	0.0001
378.00	-0.0000
379.00	-0.0003
380.00	0.0001
381.00	-0.0001
382.00	-0.0000
383.00	-0.0002
384.00	0.0003
385.00	-0.0006
386.00	0.0002
387.00	-0.0002
388.00	0.0000
389.00	-0.0001
390.00	-0.0004
391.00	0.0002
392.00	0.0002
393.00	-0.0000
394.00	-0.0001
395.00	0.0001
396.00	0.0000
397.00	-0.0002
398.00	-0.0001
399.00	0.0002
400.00	-0.0001
401.00	-0.0002
402.00	0.0000
403.00	-0.0000
404.00	0.0000
405.00	-0.0004
406.00	-0.0001
407.00	-0.0006
408.00	-0.0005
409.00	-0.0001
410.00	-0.0003
411.00	0.0001
412.00	-0.0005
413.00	-0.0001
414.00	-0.0002
415.00	-0.0002
416.00	-0.0004
417.00	0.0001
418.00	-0.0000
419.00	-0.0002
420.00	-0.0002
421.00	-0.0000
422.00	-0.0002
423.00	-0.0000
424.00	0.0000
425.00	-0.0002
426.00	-0.0002
427.00	0.0001
428.00	-0.0002
429.00	-0.0000
430.00	-0.0005
431.00	-0.0005
432.00	-0.0002
433.00	0.0002
434.00	-0.0002
435.00	-0.0001
436.00	-0.0000
437.00	-0.0005
438.00	-0.0003
439.00	-0.0003
440.00	-0.0001
441.00	-0.0002
442.00	-0.0003
443.00	-0.0000
444.00	-0.0000
445.00	-0.0000
446.00	-0.0002
447.00	0.0000
448.00	0.0000
449.00	0.0002
450.00	-0.0004
451.00	-0.0001
452.00	-0.0001
453.00	-0.0001
454.00	-0.0002
455.00	-0.0001
456.00	-0.0003
457.00	-0.0004
458.00	-0.0001
459.00	0.0001
460.00	-0.0002
461.00	-0.0000
