"File_250827_163657 - RawData"
"Wavelength nm."	"Abs."
350.00	0.1756
351.00	0.1751
352.00	0.1765
353.00	0.1765
354.00	0.1777
355.00	0.1812
356.00	0.1844
357.00	0.1879
358.00	0.1940
359.00	0.1996
360.00	0.2072
361.00	0.2137
362.00	0.2197
363.00	0.2217
364.00	0.2198
365.00	0.2137
366.00	0.2038
367.00	0.1940
368.00	0.1831
369.00	0.1749
370.00	0.1678
371.00	0.1635
372.00	0.1613
373.00	0.1601
374.00	0.1596
375.00	0.1588
376.00	0.1571
377.00	0.1552
378.00	0.1532
379.00	0.1509
380.00	0.1491
381.00	0.1466
382.00	0.1450
383.00	0.1434
384.00	0.1421
385.00	0.1406
386.00	0.1398
387.00	0.1390
388.00	0.1386
389.00	0.1371
390.00	0.1370
391.00	0.1362
392.00	0.1352
393.00	0.1353
394.00	0.1340
395.00	0.1337
396.00	0.1330
397.00	0.1325
398.00	0.1314
399.00	0.1318
400.00	0.1316
401.00	0.1311
402.00	0.1315
403.00	0.1317
404.00	0.1319
405.00	0.1322
406.00	0.1331
407.00	0.1334
408.00	0.1340
409.00	0.1351
410.00	0.1357
411.00	0.1361
412.00	0.1355
413.00	0.1358
414.00	0.1352
415.00	0.1342
416.00	0.1324
417.00	0.1309
418.00	0.1286
419.00	0.1260
420.00	0.1229
421.00	0.1203
422.00	0.1169
423.00	0.1140
424.00	0.1106
425.00	0.1073
426.00	0.1044
427.00	0.1017
428.00	0.0989
429.00	0.0962
430.00	0.0935
431.00	0.0907
432.00	0.0891
433.00	0.0869
434.00	0.0852
435.00	0.0835
436.00	0.0817
437.00	0.0804
438.00	0.0791
439.00	0.0777
440.00	0.0767
441.00	0.0756
442.00	0.0748
443.00	0.0740
444.00	0.0728
445.00	0.0722
446.00	0.0711
447.00	0.0704
448.00	0.0698
449.00	0.0689
450.00	0.0683
451.00	0.0674
452.00	0.0666
453.00	0.0661
454.00	0.0651
455.00	0.0645
456.00	0.0633
457.00	0.0625
458.00	0.0616
459.00	0.0608
460.00	0.0600
461.00	0.0591
462.00	0.0584
463.00	0.0574
464.00	0.0566
465.00	0.0555
466.00	0.0548
467.00	0.0541
468.00	0.0531
469.00	0.0525
470.00	0.0520
471.00	0.0509
472.00	0.0506
473.00	0.0498
474.00	0.0492
475.00	0.0486
476.00	0.0481
477.00	0.0472
478.00	0.0470
479.00	0.0466
480.00	0.0461
481.00	0.0459
482.00	0.0454
483.00	0.0450
484.00	0.0448
485.00	0.0446
486.00	0.0444
487.00	0.0441
488.00	0.0440
489.00	0.0439
490.00	0.0435
491.00	0.0436
492.00	0.0433
493.00	0.0433
494.00	0.0431
495.00	0.0430
496.00	0.0428
497.00	0.0430
498.00	0.0428
499.00	0.0428
500.00	0.0428
501.00	0.0431
502.00	0.0429
503.00	0.0430
504.00	0.0433
505.00	0.0433
506.00	0.0432
507.00	0.0434
508.00	0.0435
509.00	0.0435
510.00	0.0437
511.00	0.0438
512.00	0.0439
513.00	0.0443
514.00	0.0444
515.00	0.0445
516.00	0.0449
517.00	0.0453
518.00	0.0453
519.00	0.0455
520.00	0.0458
521.00	0.0462
522.00	0.0467
523.00	0.0467
524.00	0.0471
525.00	0.0472
526.00	0.0479
527.00	0.0481
528.00	0.0485
529.00	0.0488
530.00	0.0493
531.00	0.0498
532.00	0.0497
533.00	0.0503
534.00	0.0512
535.00	0.0517
536.00	0.0523
537.00	0.0529
538.00	0.0537
539.00	0.0541
540.00	0.0549
541.00	0.0555
542.00	0.0563
543.00	0.0570
544.00	0.0579
545.00	0.0584
546.00	0.0594
547.00	0.0602
548.00	0.0613
549.00	0.0619
550.00	0.0630
551.00	0.0638
552.00	0.0647
553.00	0.0658
554.00	0.0669
555.00	0.0678
556.00	0.0686
557.00	0.0700
558.00	0.0713
559.00	0.0722
560.00	0.0732
561.00	0.0743
562.00	0.0754
563.00	0.0763
564.00	0.0772
565.00	0.0785
566.00	0.0797
567.00	0.0808
568.00	0.0818
569.00	0.0830
570.00	0.0841
571.00	0.0853
572.00	0.0864
573.00	0.0878
574.00	0.0891
575.00	0.0902
576.00	0.0916
577.00	0.0932
578.00	0.0945
579.00	0.0961
580.00	0.0978
581.00	0.0996
582.00	0.1011
583.00	0.1031
584.00	0.1049
585.00	0.1066
586.00	0.1084
587.00	0.1103
588.00	0.1122
589.00	0.1146
590.00	0.1164
591.00	0.1189
592.00	0.1211
593.00	0.1234
594.00	0.1255
595.00	0.1281
596.00	0.1308
597.00	0.1332
598.00	0.1357
599.00	0.1384
600.00	0.1411
601.00	0.1441
602.00	0.1470
603.00	0.1497
604.00	0.1528
605.00	0.1557
606.00	0.1587
607.00	0.1617
608.00	0.1647
609.00	0.1678
610.00	0.1712
611.00	0.1742
612.00	0.1776
613.00	0.1812
614.00	0.1845
615.00	0.1880
616.00	0.1916
617.00	0.1949
618.00	0.1983
619.00	0.2020
620.00	0.2054
621.00	0.2089
622.00	0.2123
623.00	0.2160
624.00	0.2195
625.00	0.2233
626.00	0.2267
627.00	0.2303
628.00	0.2339
629.00	0.2377
630.00	0.2413
631.00	0.2452
632.00	0.2487
633.00	0.2528
634.00	0.2564
635.00	0.2604
636.00	0.2643
637.00	0.2683
638.00	0.2721
639.00	0.2765
640.00	0.2806
641.00	0.2845
642.00	0.2896
643.00	0.2937
644.00	0.2985
645.00	0.3033
646.00	0.3081
647.00	0.3132
648.00	0.3185
649.00	0.3232
650.00	0.3286
651.00	0.3338
652.00	0.3393
653.00	0.3454
654.00	0.3512
655.00	0.3575
656.00	0.3637
657.00	0.3700
658.00	0.3767
659.00	0.3831
660.00	0.3897
661.00	0.3967
662.00	0.4038
663.00	0.4110
664.00	0.4177
665.00	0.4249
666.00	0.4325
667.00	0.4393
668.00	0.4470
669.00	0.4545
670.00	0.4620
671.00	0.4698
672.00	0.4774
673.00	0.4849
674.00	0.4931
675.00	0.5003
676.00	0.5078
677.00	0.5157
678.00	0.5236
679.00	0.5312
680.00	0.5386
681.00	0.5462
682.00	0.5534
683.00	0.5607
684.00	0.5675
685.00	0.5754
686.00	0.5823
687.00	0.5889
688.00	0.5958
689.00	0.6024
690.00	0.6087
691.00	0.6146
692.00	0.6197
693.00	0.6255
694.00	0.6306
695.00	0.6359
696.00	0.6411
697.00	0.6465
698.00	0.6514
699.00	0.6563
700.00	0.6613
701.00	0.6662
702.00	0.6721
703.00	0.6768
704.00	0.6821
705.00	0.6877
706.00	0.6933
707.00	0.7000
708.00	0.7060
709.00	0.7131
710.00	0.7205
711.00	0.7286
712.00	0.7378
713.00	0.7469
714.00	0.7573
715.00	0.7688
716.00	0.7807
717.00	0.7936
718.00	0.8077
719.00	0.8218
