,amarilla,
"Wavelength","Abs",
420.000,0.1367818,
421.000,0.147155,
422.000,0.1580206,
423.000,0.1698964,
424.000,0.1822457,
425.000,0.195688,
426.000,0.2095559,
427.000,0.2242207,
428.000,0.2395442,
429.000,0.2553561,
430.000,0.2717311,
431.000,0.2882386,
432.000,0.3053537,
433.000,0.3226569,
434.000,0.3397888,
435.000,0.3577763,
436.000,0.3765028,
437.000,0.3952471,
438.000,0.4150492,
439.000,0.4354213,
440.000,0.4579936,
441.000,0.4811493,
442.000,0.5059097,
443.000,0.5329393,
444.000,0.5622302,
445.000,0.5940915,
446.000,0.6280133,
447.000,0.6642473,
448.000,0.703697,
449.000,0.7447011,
450.000,0.7874365,
451.000,0.8305881,
452.000,0.874142,
453.000,0.9167033,
454.000,0.9595617,
455.000,0.9991503,
456.000,1.037168,
457.000,1.070898,
458.000,1.100111,
459.000,1.125671,
460.000,1.146282,
461.000,1.162896,
462.000,1.174856,
463.000,1.182978,
464.000,1.190809,
465.000,1.194707,
466.000,1.199167,
467.000,1.205436,
468.000,1.213234,
469.000,1.226403,
470.000,1.243557,
471.000,1.266899,
472.000,1.297759,
473.000,1.335932,
474.000,1.382181,
475.000,1.433622,
476.000,1.491582,
477.000,1.55554,
478.000,1.618885,
479.000,1.68074,
480.000,1.744083,
481.000,1.796196,
482.000,1.842493,
483.000,1.874047,
484.000,1.897274,
485.000,1.905841,
486.000,1.899264,
487.000,1.880657,
488.000,1.83959,
489.000,1.784559,
490.000,1.707241,
491.000,1.61355,
492.000,1.502404,
493.000,1.375905,
494.000,1.239598,
495.000,1.097713,
496.000,0.9583603,
497.000,0.8250242,
498.000,0.7007706,
499.000,0.589346,
500.000,0.4914858,
501.000,0.4059897,
502.000,0.332624,
503.000,0.2703181,
504.000,0.2183922,
505.000,0.17559,
506.000,0.1409379,
507.000,0.1129932,
508.000,0.09064909,
509.000,0.07261524,
510.000,0.05832411,
511.000,0.04705021,
512.000,0.03826844,
513.000,0.0309276,
514.000,0.02531291,
515.000,0.02099364,
516.000,0.01722579,
517.000,0.01453295,
518.000,0.01234389,
519.000,0.01050056,
520.000,0.008792916,
521.000,0.007568765,
522.000,0.006615465,
523.000,0.00579874,
524.000,0.005090816,
525.000,0.00450406,
526.000,0.003896977,
527.000,0.003559775,
528.000,0.003170175,
529.000,0.002870088,
530.000,0.00271868,
531.000,0.002550299,
532.000,0.002338572,
533.000,0.002171105,
534.000,0.002139117,
535.000,0.001958983,
536.000,0.001914003,
537.000,0.001869834,
538.000,0.001737704,
539.000,0.001723904,
540.000,0.001622929,
541.000,0.001704853,
542.000,0.001599485,
543.000,0.001664216,
544.000,0.001628399,
545.000,0.001610338,
546.000,0.001505249,
547.000,0.001574257,
548.000,0.001595849,
549.000,0.001608774,
550.000,0.001517427,
551.000,0.001608419,
552.000,0.001564635,
553.000,0.001612516,
554.000,0.001738258,
555.000,0.001577587,
556.000,0.001607953,
557.000,0.001573202,
558.000,0.001525237,
559.000,0.001565434,
560.000,0.001382925,
561.000,0.001565497,
562.000,0.001586883,
563.000,0.001608967,
564.000,0.001504797,
565.000,0.001648294,
566.000,0.001691819,
567.000,0.001652519,
568.000,0.001674338,
569.000,0.001687191,
570.000,0.001648228,
571.000,0.001704516,
572.000,0.001839229,
573.000,0.001721358,
574.000,0.001833569,
575.000,0.001815535,
576.000,0.001897329,
577.000,0.001787544,
578.000,0.00178683,
579.000,0.001880591,
580.000,0.001775019,
581.000,0.001773286,
582.000,0.001918448,
583.000,0.001881485,
584.000,0.001810335,
585.000,0.001803885,
586.000,0.001904323,
587.000,0.001893589,
588.000,0.001741194,
589.000,0.001905602,
590.000,0.001873308,
591.000,0.001828161,
592.000,0.001860156,
593.000,0.001858166,
594.000,0.001749122,
595.000,0.001714152,
596.000,0.001729557,
597.000,0.00161339,
598.000,0.001743705,
599.000,0.001674597,
600.000,0.001622662,
601.000,0.00159626,
602.000,0.001667338,
603.000,0.001645097,
604.000,0.001623248,
605.000,0.001478803,
606.000,0.00157927,
607.000,0.001498508,
608.000,0.001485158,
609.000,0.001425286,
610.000,0.001618648,
611.000,0.001550647,
612.000,0.001604951,
613.000,0.001322221,
614.000,0.001632862,
615.000,0.001611297,
616.000,0.001500997,
617.000,0.001521571,
618.000,0.001336227,
619.000,0.001482558,
620.000,0.001583294,
621.000,0.001502968,
622.000,0.001636632,
623.000,0.00156483,
624.000,0.001622812,
625.000,0.001387343,
626.000,0.001546361,
627.000,0.001508012,
628.000,0.001557874,
629.000,0.001645255,
630.000,0.001644843,
631.000,0.001606625,
632.000,0.001584949,
633.000,0.001601292,
634.000,0.001613438,
635.000,0.001550404,
636.000,0.001595552,
637.000,0.00163268,
638.000,0.001607193,
639.000,0.00154436,
640.000,0.00161876,
641.000,0.001710119,
642.000,0.001751223,
643.000,0.001562924,
644.000,0.001495665,
645.000,0.001678383,
646.000,0.001757066,
647.000,0.001648431,
648.000,0.001593758,
649.000,0.001634854,
650.000,0.001609586,
651.000,0.001738311,
652.000,0.001708604,
653.000,0.001624993,
654.000,0.001637203,
655.000,0.001653286,
656.000,0.0016072,
657.000,0.001702141,
658.000,0.001626728,
659.000,0.001659578,
660.000,0.001626076,
661.000,0.001509437,
662.000,0.001762031,
663.000,0.001516963,
664.000,0.001628459,
665.000,0.001594914,
666.000,0.0016481,
667.000,0.001581603,
668.000,0.001593591,
669.000,0.001709,
670.000,0.001539011,
671.000,0.001435221,
672.000,0.0014265,
673.000,0.001500441,
674.000,0.001491705,
675.000,0.001454177,
676.000,0.001528131,
677.000,0.001412113,
678.000,0.001506671,
679.000,0.001415266,
680.000,0.001402535,
681.000,0.001480652,
682.000,0.001438847,
683.000,0.001479668,
684.000,0.001360108,
685.000,0.001437987,
686.000,0.001289436,
687.000,0.001367339,
688.000,0.001313431,
689.000,0.001407656,
690.000,0.001341305,
691.000,0.001365694,
692.000,0.001344598,
693.000,0.001377167,
694.000,0.00131909,
695.000,0.001384511,
696.000,0.001269069,
697.000,0.00130978,
698.000,0.001313532,
699.000,0.001341816,
700.000,0.001181386,
701.000,0.001303992,
702.000,0.001365185,
703.000,0.001204929,
704.000,0.001335586,
705.000,0.001224548,
706.000,0.001269233,
707.000,0.001240228,
708.000,0.001231624,
709.000,0.001194387,
710.000,0.00125517,
711.000,0.001152734,
712.000,0.001254544,
713.000,0.001258127,
714.000,0.001257677,
715.000,0.001261257,
716.000,0.001142527,
717.000,0.001146182,
718.000,0.001247575,
719.000,0.001157587,
720.000,0.001222287,
721.000,0.001205481,
722.000,0.001095187,
723.000,0.001066273,
724.000,0.001139016,
725.000,0.001130351,
726.000,0.001093383,
727.000,0.001218868,
728.000,0.001182053,
729.000,0.001181578,
730.000,0.00104707,
731.000,0.001119766,
732.000,0.001086751,
733.000,0.001114714,
734.000,0.001251973,
735.000,0.001129842,
736.000,0.001129484,
737.000,0.001056102,
738.000,0.001096045,
739.000,0.001051062,
740.000,0.001111312,
741.000,0.001171237,
742.000,0.00119497,
743.000,0.001158135,
744.000,0.0009761515,
745.000,0.001217607,
746.000,0.001212861,
747.000,0.001135843,
748.000,0.001163514,
749.000,0.001167026,
750.000,0.001182455,
751.000,0.001238006,
752.000,0.001125095,
753.000,0.001092242,
754.000,0.001087638,
755.000,0.001159451,
756.000,0.001166753,
757.000,0.00125828,
758.000,0.001253549,
759.000,0.0009967543,
760.000,0.001280103,
761.000,0.001039834,
762.000,0.001203149,
763.000,0.001210408,
764.000,0.001110126,
765.000,0.001169589,
766.000,0.001157162,
767.000,0.001092886,
768.000,0.001200133,
769.000,0.001143799,
770.000,0.001087564,
771.000,0.00106678,
772.000,0.001189625,
773.000,0.001105187,
774.000,0.001223276,
775.000,0.001269961,
776.000,0.001285178,
777.000,0.001205053,
778.000,0.001378663,
779.000,0.001310532,
780.000,0.001175508,
781.000,0.001301249,
782.000,0.001261031,
783.000,0.001256581,
784.000,0.001240594,
785.000,0.001247985,
786.000,0.001302494,
787.000,0.001230241,
788.000,0.001240657,
789.000,0.001329514,
790.000,0.001418821,
791.000,0.001354674,
792.000,0.00127129,
793.000,0.001380332,
794.000,0.001473275,
795.000,0.00125315,
796.000,0.001358095,
797.000,0.001247473,
798.000,0.001211498,
799.000,0.001296717,
800.000,0.001315459,
