"File_250827_163335 - RawData"
"Wavelength nm."	"Abs."
702.00	1.3802
703.00	1.3902
704.00	1.4014
705.00	1.4129
706.00	1.4251
707.00	1.4376
708.00	1.4507
709.00	1.4643
710.00	1.4808
711.00	1.4964
712.00	1.5148
713.00	1.5349
714.00	1.5552
715.00	1.5784
716.00	1.6029
717.00	1.6291
718.00	1.6566
719.00	1.6860
720.00	1.7200
721.00	1.7544
722.00	1.7916
723.00	1.8295
724.00	1.8711
725.00	1.9142
726.00	1.9569
727.00	2.0049
728.00	2.0527
729.00	2.1061
730.00	2.1588
731.00	2.2080
732.00	2.2657
733.00	2.3198
734.00	2.3706
735.00	2.4270
736.00	2.4844
737.00	2.5403
738.00	2.5917
739.00	2.6479
740.00	2.7018
741.00	2.7481
742.00	2.7995
743.00	2.8455
744.00	2.8854
745.00	2.9245
746.00	2.9600
747.00	2.9961
748.00	3.0211
749.00	3.0504
750.00	3.0690
751.00	3.0882
752.00	3.1047
753.00	3.1165
754.00	3.1282
755.00	3.1316
756.00	3.1448
757.00	3.1516
758.00	3.1587
759.00	3.1582
760.00	3.1551
761.00	3.3247
762.00	3.3228
763.00	3.3131
764.00	3.3081
765.00	3.2945
766.00	3.2798
767.00	3.2613
768.00	3.2466
769.00	3.2187
770.00	3.2009
771.00	3.1738
772.00	3.1407
773.00	3.0907
774.00	3.0542
775.00	2.9982
776.00	2.9336
777.00	2.8612
778.00	2.7870
779.00	2.6878
780.00	2.5907
781.00	2.4911
782.00	2.3821
783.00	2.2680
784.00	2.1514
785.00	2.0411
786.00	1.9286
787.00	1.8189
788.00	1.7109
789.00	1.6119
790.00	1.5106
791.00	1.4120
792.00	1.3202
793.00	1.2320
794.00	1.1508
795.00	1.0704
796.00	0.9934
797.00	0.9259
798.00	0.8560
799.00	0.7918
800.00	0.7340
801.00	0.6789
802.00	0.6296
803.00	0.5831
804.00	0.5396
805.00	0.4980
806.00	0.4608
807.00	0.4255
808.00	0.3959
809.00	0.3654
810.00	0.3384
811.00	0.3131
812.00	0.2885
813.00	0.2677
814.00	0.2479
815.00	0.2291
816.00	0.2137
817.00	0.1988
818.00	0.1832
819.00	0.1705
820.00	0.1592
821.00	0.1467
822.00	0.1358
823.00	0.1265
824.00	0.1175
825.00	0.1086
826.00	0.1007
827.00	0.0934
828.00	0.0864
829.00	0.0802
830.00	0.0748
831.00	0.0699
832.00	0.0652
833.00	0.0607
834.00	0.0567
835.00	0.0543
836.00	0.0506
837.00	0.0464
838.00	0.0445
839.00	0.0423
840.00	0.0390
841.00	0.0385
842.00	0.0359
843.00	0.0342
844.00	0.0318
845.00	0.0326
846.00	0.0311
847.00	0.0298
848.00	0.0290
849.00	0.0265
850.00	0.0263
851.00	0.0251
852.00	0.0274
853.00	0.0238
854.00	0.0240
855.00	0.0241
856.00	0.0238
857.00	0.0246
858.00	0.0241
859.00	0.0276
860.00	0.0287
861.00	0.0230
862.00	0.0247
863.00	0.0245
864.00	0.0251
865.00	0.0246
866.00	0.0236
867.00	0.0312
868.00	0.0273
869.00	0.0263
870.00	0.0316
871.00	0.0343
872.00	0.0337
873.00	0.0331
874.00	0.0382
875.00	0.0384
876.00	0.0417
877.00	0.0423
878.00	0.0439
879.00	0.0479
880.00	0.0481
881.00	0.0578
882.00	0.0533
883.00	0.0553
884.00	0.0641
885.00	0.0656
886.00	0.0656
887.00	0.0682
888.00	0.0826
889.00	0.0843
890.00	0.0775
891.00	0.0898
892.00	0.0862
893.00	0.0907
894.00	0.1016
895.00	0.1034
896.00	0.1022
897.00	0.1170
898.00	0.1167
899.00	0.1109
900.00	0.1186
