"File_250827_150847 - RawData"
"Wavelength nm."	"Abs."
350.00	0.4071
351.00	0.3975
352.00	0.3907
353.00	0.3828
354.00	0.3756
355.00	0.3700
356.00	0.3648
357.00	0.3593
358.00	0.3548
359.00	0.3508
360.00	0.3461
361.00	0.3428
362.00	0.3390
363.00	0.3353
364.00	0.3326
365.00	0.3287
366.00	0.3247
367.00	0.3210
368.00	0.3184
369.00	0.3157
370.00	0.3131
371.00	0.3114
372.00	0.3104
373.00	0.3087
374.00	0.3089
375.00	0.3084
376.00	0.3073
377.00	0.3056
378.00	0.3039
379.00	0.3018
380.00	0.3002
381.00	0.2975
382.00	0.2956
383.00	0.2945
384.00	0.2912
385.00	0.2895
386.00	0.2867
387.00	0.2849
388.00	0.2829
389.00	0.2808
390.00	0.2795
391.00	0.2775
392.00	0.2767
393.00	0.2756
394.00	0.2753
395.00	0.2748
396.00	0.2749
397.00	0.2762
398.00	0.2769
399.00	0.2780
400.00	0.2791
401.00	0.2802
402.00	0.2805
403.00	0.2809
404.00	0.2812
405.00	0.2818
406.00	0.2810
407.00	0.2806
408.00	0.2799
409.00	0.2799
410.00	0.2791
411.00	0.2783
412.00	0.2779
413.00	0.2771
414.00	0.2767
415.00	0.2762
416.00	0.2758
417.00	0.2759
418.00	0.2749
419.00	0.2749
420.00	0.2748
421.00	0.2747
422.00	0.2751
423.00	0.2746
424.00	0.2747
425.00	0.2747
426.00	0.2745
427.00	0.2738
428.00	0.2734
429.00	0.2733
430.00	0.2724
431.00	0.2718
432.00	0.2710
433.00	0.2703
434.00	0.2698
435.00	0.2682
436.00	0.2669
437.00	0.2658
438.00	0.2644
439.00	0.2629
440.00	0.2609
441.00	0.2592
442.00	0.2575
443.00	0.2563
444.00	0.2548
445.00	0.2530
446.00	0.2519
447.00	0.2506
448.00	0.2489
449.00	0.2477
450.00	0.2463
451.00	0.2448
452.00	0.2431
453.00	0.2414
454.00	0.2396
455.00	0.2373
456.00	0.2348
457.00	0.2324
458.00	0.2291
459.00	0.2255
460.00	0.2224
461.00	0.2191
462.00	0.2152
463.00	0.2118
464.00	0.2077
465.00	0.2041
466.00	0.2009
467.00	0.1975
468.00	0.1939
469.00	0.1913
470.00	0.1883
471.00	0.1855
472.00	0.1827
473.00	0.1803
474.00	0.1778
475.00	0.1753
476.00	0.1730
477.00	0.1708
478.00	0.1685
