,rosa,
"Wavelength","Abs",
488.000,0.0426239,
489.000,0.0439845,
490.000,0.0451397,
491.000,0.04639759,
492.000,0.04759139,
493.000,0.0486816,
494.000,0.05018357,
495.000,0.0514909,
496.000,0.05291667,
497.000,0.05444881,
498.000,0.05609651,
499.000,0.05774247,
500.000,0.05968969,
501.000,0.06151765,
502.000,0.06372593,
503.000,0.06574488,
504.000,0.06799993,
505.000,0.07073214,
506.000,0.0731068,
507.000,0.0757592,
508.000,0.07864759,
509.000,0.08143887,
510.000,0.08440879,
511.000,0.08771563,
512.000,0.09131158,
513.000,0.09479405,
514.000,0.09874367,
515.000,0.1029773,
516.000,0.1072754,
517.000,0.1119614,
518.000,0.1172481,
519.000,0.1223444,
520.000,0.1281255,
521.000,0.1342568,
522.000,0.1410182,
523.000,0.1480365,
524.000,0.1557146,
525.000,0.1637778,
526.000,0.1722137,
527.000,0.1810477,
528.000,0.1902219,
529.000,0.199502,
530.000,0.2095178,
531.000,0.2195074,
532.000,0.2297498,
533.000,0.2401376,
534.000,0.2505471,
535.000,0.2608817,
536.000,0.271195,
537.000,0.2810637,
538.000,0.290709,
539.000,0.2998469,
540.000,0.3086339,
541.000,0.3170895,
542.000,0.3248772,
543.000,0.3320636,
544.000,0.3391755,
545.000,0.3453798,
546.000,0.3512444,
547.000,0.3567613,
548.000,0.3618767,
549.000,0.3669278,
550.000,0.3716672,
551.000,0.3769967,
552.000,0.3824286,
553.000,0.3884502,
554.000,0.3953693,
555.000,0.4029884,
556.000,0.4115841,
557.000,0.4216494,
558.000,0.4332783,
559.000,0.4469341,
560.000,0.4623858,
561.000,0.4798515,
562.000,0.4996364,
563.000,0.5211575,
564.000,0.5451374,
565.000,0.5712846,
566.000,0.5989804,
567.000,0.6285517,
568.000,0.6595964,
569.000,0.6921365,
570.000,0.7257028,
571.000,0.7602715,
572.000,0.794203,
573.000,0.8282162,
574.000,0.8611832,
575.000,0.8921969,
576.000,0.9215645,
577.000,0.9482398,
578.000,0.9713371,
579.000,0.9908993,
580.000,1.006573,
581.000,1.017878,
582.000,1.023446,
583.000,1.023934,
584.000,1.019472,
585.000,1.009231,
586.000,0.9938289,
587.000,0.9731441,
588.000,0.9476038,
589.000,0.9171242,
590.000,0.8824298,
591.000,0.8440422,
592.000,0.8026624,
593.000,0.7582805,
594.000,0.7128397,
595.000,0.6660945,
596.000,0.6191086,
597.000,0.57214,
598.000,0.5262267,
599.000,0.4814545,
600.000,0.4379405,
601.000,0.3960486,
602.000,0.3568173,
603.000,0.3199144,
604.000,0.2857985,
605.000,0.2544205,
606.000,0.2259751,
607.000,0.199989,
608.000,0.1766371,
609.000,0.1556002,
610.000,0.1369196,
611.000,0.120249,
612.000,0.1056614,
613.000,0.09295171,
614.000,0.08217643,
615.000,0.07275381,
616.000,0.06464304,
617.000,0.05766539,
618.000,0.05140485,
619.000,0.04646011,
620.000,0.04193212,
621.000,0.03806068,
622.000,0.03512178,
623.000,0.03238477,
624.000,0.02998804,
625.000,0.02775039,
626.000,0.02591604,
627.000,0.02410763,
628.000,0.02248106,
629.000,0.02093344,
630.000,0.01949261,
631.000,0.01799108,
632.000,0.01668818,
633.000,0.01527231,
634.000,0.01399102,
635.000,0.01283593,
636.000,0.01178204,
637.000,0.01086268,
638.000,0.009861463,
639.000,0.009034709,
640.000,0.008362788,
641.000,0.007634722,
642.000,0.007225331,
643.000,0.006475715,
644.000,0.006068641,
645.000,0.00574917,
646.000,0.005406251,
647.000,0.005060854,
648.000,0.004878732,
649.000,0.004520181,
650.000,0.004360067,
651.000,0.004178667,
652.000,0.004064252,
653.000,0.003787203,
654.000,0.003652687,
655.000,0.003559452,
656.000,0.003408338,
657.000,0.003319115,
658.000,0.00326792,
659.000,0.003250417,
660.000,0.003016379,
661.000,0.002957447,
662.000,0.003043468,
663.000,0.00280598,
664.000,0.002821559,
665.000,0.002729412,
666.000,0.002736454,
667.000,0.002578235,
668.000,0.002656472,
669.000,0.002655357,
670.000,0.002476672,
671.000,0.002376684,
672.000,0.002359357,
673.000,0.002387433,
674.000,0.002316199,
675.000,0.002307465,
676.000,0.002290073,
677.000,0.002194465,
678.000,0.002168781,
679.000,0.002230206,
680.000,0.002184142,
681.000,0.002088395,
682.000,0.002116632,
683.000,0.0020622,
684.000,0.001967348,
685.000,0.001937658,
686.000,0.001863291,
687.000,0.001829583,
688.000,0.001800285,
689.000,0.001853129,
690.000,0.001873213,
691.000,0.001782015,
692.000,0.001839074,
693.000,0.001686088,
694.000,0.001792637,
695.000,0.001800315,
696.000,0.001771149,
697.000,0.001729416,
698.000,0.001642537,
699.000,0.001691286,
700.000,0.001637571,
701.000,0.001649097,
702.000,0.001689688,
703.000,0.001558023,
704.000,0.001663966,
705.000,0.001589713,
706.000,0.001609691,
707.000,0.001555967,
708.000,0.00162517,
709.000,0.001493498,
710.000,0.001562359,
711.000,0.001529467,
712.000,0.001471493,
713.000,0.001565042,
714.000,0.001519471,
715.000,0.001584303,
716.000,0.001518585,
717.000,0.001485313,
718.000,0.001582502,
719.000,0.001496479,
720.000,0.001552895,
721.000,0.001576758,
722.000,0.001547911,
723.000,0.001412765,
724.000,0.001513918,
725.000,0.001500998,
726.000,0.001557582,
727.000,0.00159334,
728.000,0.001548289,
729.000,0.001572083,
730.000,0.001494264,
731.000,0.001493664,
732.000,0.001464506,
733.000,0.001492339,
734.000,0.001597001,
735.000,0.001600464,
736.000,0.001474177,
737.000,0.001506029,
738.000,0.001468764,
739.000,0.001411434,
740.000,0.001418941,
741.000,0.001523225,
742.000,0.001506363,
743.000,0.001513863,
744.000,0.001380161,
745.000,0.001585173,
746.000,0.001503483,
747.000,0.001511082,
748.000,0.001526492,
749.000,0.001505648,
750.000,0.001500739,
751.000,0.001689066,
752.000,0.001451113,
753.000,0.001566938,
754.000,0.001642539,
755.000,0.001533221,
756.000,0.001572442,
757.000,0.001571412,
758.000,0.001586568,
759.000,0.001457876,
760.000,0.00171299,
761.000,0.001488531,
762.000,0.001419349,
763.000,0.00160662,
764.000,0.0015982,
765.000,0.00151748,
766.000,0.001556899,
767.000,0.001516421,
768.000,0.001587595,
769.000,0.001571004,
770.000,0.001406781,
771.000,0.001477471,
772.000,0.001584234,
773.000,0.001475536,
774.000,0.001525654,
775.000,0.001556214,
776.000,0.001551415,
777.000,0.001522729,
778.000,0.001648569,
779.000,0.001619935,
780.000,0.001568052,
781.000,0.001574651,
782.000,0.001510509,
783.000,0.001525756,
784.000,0.001577034,
785.000,0.001611997,
786.000,0.001622795,
787.000,0.001660859,
788.000,0.001501053,
789.000,0.001640846,
790.000,0.0016157,
791.000,0.001708764,
792.000,0.001625088,
793.000,0.001584617,
794.000,0.001704908,
795.000,0.001476747,
796.000,0.001471788,
797.000,0.001549125,
798.000,0.001493363,
799.000,0.001531477,
800.000,0.001577465,
