"File_250827_160523 - RawData"
"Wavelength nm."	"Abs."
350.00	0.0003
351.00	-0.0042
352.00	-0.0099
353.00	-0.0149
354.00	-0.0205
355.00	-0.0247
356.00	-0.0293
357.00	-0.0332
358.00	-0.0370
359.00	-0.0391
360.00	-0.0420
361.00	-0.0446
362.00	-0.0452
363.00	-0.0475
364.00	-0.0495
365.00	-0.0496
366.00	-0.0508
367.00	-0.0496
368.00	-0.0489
369.00	-0.0459
370.00	-0.0428
371.00	-0.0394
372.00	-0.0353
373.00	-0.0294
374.00	-0.0254
375.00	-0.0208
376.00	-0.0183
377.00	-0.0155
378.00	-0.0134
379.00	-0.0113
380.00	-0.0097
381.00	-0.0087
382.00	-0.0076
383.00	-0.0067
384.00	-0.0058
385.00	-0.0059
386.00	-0.0045
387.00	-0.0052
388.00	-0.0047
389.00	-0.0050
390.00	-0.0053
391.00	-0.0052
392.00	-0.0049
393.00	-0.0046
394.00	-0.0036
395.00	-0.0030
396.00	-0.0018
397.00	0.0000
398.00	0.0013
399.00	0.0034
400.00	0.0048
401.00	0.0063
402.00	0.0082
403.00	0.0090
404.00	0.0100
405.00	0.0101
406.00	0.0107
407.00	0.0107
408.00	0.0104
409.00	0.0105
410.00	0.0100
411.00	0.0099
412.00	0.0091
413.00	0.0090
414.00	0.0085
415.00	0.0080
416.00	0.0078
417.00	0.0071
418.00	0.0064
419.00	0.0061
420.00	0.0056
421.00	0.0055
422.00	0.0048
423.00	0.0048
424.00	0.0045
425.00	0.0039
426.00	0.0036
427.00	0.0039
428.00	0.0031
429.00	0.0033
430.00	0.0028
431.00	0.0023
432.00	0.0027
433.00	0.0025
434.00	0.0022
435.00	0.0023
436.00	0.0020
437.00	0.0019
438.00	0.0018
439.00	0.0017
440.00	0.0016
441.00	0.0016
442.00	0.0017
443.00	0.0015
444.00	0.0020
445.00	0.0019
446.00	0.0018
447.00	0.0019
448.00	0.0023
449.00	0.0024
450.00	0.0025
451.00	0.0027
452.00	0.0030
453.00	0.0030
454.00	0.0033
455.00	0.0037
456.00	0.0039
457.00	0.0042
458.00	0.0045
459.00	0.0048
460.00	0.0052
461.00	0.0057
462.00	0.0060
463.00	0.0066
464.00	0.0073
465.00	0.0076
466.00	0.0081
467.00	0.0091
468.00	0.0098
469.00	0.0105
470.00	0.0114
471.00	0.0123
472.00	0.0134
473.00	0.0142
474.00	0.0157
475.00	0.0166
476.00	0.0180
477.00	0.0194
478.00	0.0209
479.00	0.0223
480.00	0.0239
481.00	0.0256
482.00	0.0272
483.00	0.0288
484.00	0.0306
485.00	0.0324
486.00	0.0343
487.00	0.0359
488.00	0.0378
489.00	0.0396
490.00	0.0412
491.00	0.0435
492.00	0.0455
493.00	0.0476
494.00	0.0498
495.00	0.0520
496.00	0.0544
497.00	0.0575
498.00	0.0603
499.00	0.0635
500.00	0.0669
501.00	0.0712
502.00	0.0749
503.00	0.0791
504.00	0.0843
505.00	0.0891
506.00	0.0946
507.00	0.1005
508.00	0.1061
509.00	0.1123
510.00	0.1188
511.00	0.1255
512.00	0.1321
513.00	0.1393
514.00	0.1458
515.00	0.1525
516.00	0.1587
517.00	0.1650
518.00	0.1713
519.00	0.1770
520.00	0.1826
521.00	0.1876
522.00	0.1921
523.00	0.1960
524.00	0.1995
525.00	0.2020
526.00	0.2047
527.00	0.2070
528.00	0.2088
529.00	0.2104
530.00	0.2123
531.00	0.2144
532.00	0.2168
533.00	0.2201
534.00	0.2237
535.00	0.2286
536.00	0.2348
537.00	0.2418
538.00	0.2497
539.00	0.2590
540.00	0.2691
541.00	0.2796
542.00	0.2917
543.00	0.3040
544.00	0.3174
545.00	0.3310
546.00	0.3454
547.00	0.3598
548.00	0.3743
549.00	0.3890
550.00	0.4037
551.00	0.4181
552.00	0.4324
553.00	0.4459
554.00	0.4580
555.00	0.4693
556.00	0.4787
557.00	0.4867
558.00	0.4925
559.00	0.4951
560.00	0.4952
561.00	0.4916
562.00	0.4851
563.00	0.4740
564.00	0.4585
565.00	0.4388
566.00	0.4152
567.00	0.3877
568.00	0.3564
569.00	0.3242
570.00	0.2906
571.00	0.2578
572.00	0.2267
573.00	0.1976
574.00	0.1696
575.00	0.1453
576.00	0.1238
577.00	0.1047
578.00	0.0881
579.00	0.0742
580.00	0.0617
581.00	0.0512
582.00	0.0420
583.00	0.0345
584.00	0.0281
585.00	0.0226
586.00	0.0181
587.00	0.0142
588.00	0.0108
589.00	0.0084
590.00	0.0060
591.00	0.0042
592.00	0.0030
593.00	0.0015
594.00	0.0003
595.00	-0.0004
596.00	-0.0013
597.00	-0.0019
598.00	-0.0026
599.00	-0.0030
600.00	-0.0033
601.00	-0.0037
602.00	-0.0040
603.00	-0.0043
604.00	-0.0042
605.00	-0.0044
606.00	-0.0046
607.00	-0.0048
608.00	-0.0047
609.00	-0.0049
610.00	-0.0051
611.00	-0.0052
612.00	-0.0051
613.00	-0.0053
614.00	-0.0055
615.00	-0.0055
616.00	-0.0054
617.00	-0.0053
618.00	-0.0055
619.00	-0.0056
620.00	-0.0057
621.00	-0.0058
622.00	-0.0058
623.00	-0.0055
624.00	-0.0057
625.00	-0.0056
626.00	-0.0057
627.00	-0.0059
628.00	-0.0060
629.00	-0.0059
630.00	-0.0059
631.00	-0.0058
632.00	-0.0059
633.00	-0.0057
634.00	-0.0059
635.00	-0.0059
636.00	-0.0061
637.00	-0.0057
638.00	-0.0062
639.00	-0.0058
640.00	-0.0059
641.00	-0.0061
642.00	-0.0059
643.00	-0.0062
644.00	-0.0061
645.00	-0.0061
646.00	-0.0060
647.00	-0.0062
648.00	-0.0062
649.00	-0.0062
650.00	-0.0062
651.00	-0.0062
652.00	-0.0063
653.00	-0.0062
654.00	-0.0064
655.00	-0.0062
656.00	-0.0062
657.00	-0.0065
658.00	-0.0065
659.00	-0.0067
660.00	-0.0067
661.00	-0.0066
662.00	-0.0067
663.00	-0.0065
664.00	-0.0070
665.00	-0.0067
666.00	-0.0066
667.00	-0.0070
668.00	-0.0071
669.00	-0.0071
670.00	-0.0071
671.00	-0.0071
672.00	-0.0071
673.00	-0.0072
674.00	-0.0072
675.00	-0.0073
676.00	-0.0074
677.00	-0.0074
678.00	-0.0073
679.00	-0.0074
680.00	-0.0077
681.00	-0.0077
682.00	-0.0079
683.00	-0.0080
684.00	-0.0079
685.00	-0.0077
686.00	-0.0082
687.00	-0.0079
688.00	-0.0082
689.00	-0.0084
690.00	-0.0084
691.00	-0.0083
692.00	-0.0084
693.00	-0.0083
694.00	-0.0083
695.00	-0.0085
696.00	-0.0086
697.00	-0.0086
698.00	-0.0084
699.00	-0.0089
700.00	-0.0090
701.00	-0.0088
702.00	-0.0087
703.00	-0.0089
704.00	-0.0091
705.00	-0.0092
706.00	-0.0091
707.00	-0.0090
708.00	-0.0092
709.00	-0.0094
710.00	-0.0092
711.00	-0.0092
712.00	-0.0092
713.00	-0.0095
714.00	-0.0095
715.00	-0.0097
716.00	-0.0100
717.00	-0.0099
718.00	-0.0098
719.00	-0.0099
720.00	-0.0095
721.00	-0.0099
722.00	-0.0101
723.00	-0.0102
724.00	-0.0100
725.00	-0.0100
726.00	-0.0102
727.00	-0.0102
728.00	-0.0107
729.00	-0.0104
730.00	-0.0105
731.00	-0.0106
732.00	-0.0103
733.00	-0.0106
734.00	-0.0111
735.00	-0.0111
736.00	-0.0110
737.00	-0.0106
738.00	-0.0111
739.00	-0.0110
740.00	-0.0112
741.00	-0.0112
742.00	-0.0112
743.00	-0.0111
744.00	-0.0116
745.00	-0.0113
746.00	-0.0114
747.00	-0.0116
748.00	-0.0119
749.00	-0.0117
750.00	-0.0123
751.00	-0.0118
752.00	-0.0120
753.00	-0.0118
754.00	-0.0122
755.00	-0.0126
756.00	-0.0121
757.00	-0.0116
758.00	-0.0124
759.00	-0.0119
760.00	-0.0120
761.00	-0.0120
762.00	-0.0123
763.00	-0.0127
764.00	-0.0126
765.00	-0.0125
766.00	-0.0128
767.00	-0.0126
768.00	-0.0124
769.00	-0.0126
770.00	-0.0131
771.00	-0.0131
772.00	-0.0127
773.00	-0.0135
774.00	-0.0132
775.00	-0.0129
776.00	-0.0128
777.00	-0.0131
778.00	-0.0127
779.00	-0.0137
780.00	-0.0136
781.00	-0.0131
782.00	-0.0131
783.00	-0.0135
784.00	-0.0133
785.00	-0.0137
786.00	-0.0134
787.00	-0.0136
788.00	-0.0136
789.00	-0.0138
790.00	-0.0138
791.00	-0.0137
792.00	-0.0141
793.00	-0.0143
794.00	-0.0141
795.00	-0.0141
796.00	-0.0140
797.00	-0.0143
798.00	-0.0143
799.00	-0.0146
800.00	-0.0141
801.00	-0.0146
802.00	-0.0147
803.00	-0.0145
804.00	-0.0142
805.00	-0.0142
806.00	-0.0145
807.00	-0.0144
808.00	-0.0146
