"File_250827_144738 - RawData"
"Wavelength nm."	"Abs."
350.00	-0.0892
351.00	-0.0899
352.00	-0.0909
353.00	-0.0915
354.00	-0.0931
355.00	-0.0934
356.00	-0.0943
357.00	-0.0948
358.00	-0.0964
359.00	-0.0963
360.00	-0.0964
361.00	-0.0967
362.00	-0.0967
363.00	-0.0978
364.00	-0.0973
365.00	-0.0979
366.00	-0.0978
367.00	-0.0977
368.00	-0.0962
369.00	-0.0934
370.00	-0.0916
371.00	-0.0878
372.00	-0.0828
373.00	-0.0777
374.00	-0.0728
375.00	-0.0675
376.00	-0.0632
377.00	-0.0592
378.00	-0.0556
379.00	-0.0521
380.00	-0.0489
381.00	-0.0461
382.00	-0.0432
383.00	-0.0408
384.00	-0.0390
385.00	-0.0374
386.00	-0.0358
387.00	-0.0342
388.00	-0.0330
389.00	-0.0319
390.00	-0.0308
391.00	-0.0297
392.00	-0.0283
393.00	-0.0271
394.00	-0.0250
395.00	-0.0236
396.00	-0.0216
397.00	-0.0184
398.00	-0.0160
399.00	-0.0130
400.00	-0.0103
401.00	-0.0081
402.00	-0.0056
403.00	-0.0035
404.00	-0.0021
405.00	-0.0006
406.00	0.0007
407.00	0.0013
408.00	0.0020
409.00	0.0028
410.00	0.0031
411.00	0.0033
412.00	0.0034
413.00	0.0036
414.00	0.0039
415.00	0.0040
416.00	0.0043
417.00	0.0049
418.00	0.0047
419.00	0.0049
420.00	0.0049
421.00	0.0050
422.00	0.0052
423.00	0.0051
424.00	0.0056
425.00	0.0057
426.00	0.0056
427.00	0.0058
428.00	0.0061
429.00	0.0061
430.00	0.0062
431.00	0.0060
432.00	0.0058
433.00	0.0062
434.00	0.0065
435.00	0.0061
436.00	0.0059
437.00	0.0060
438.00	0.0064
439.00	0.0062
440.00	0.0063
441.00	0.0064
442.00	0.0064
443.00	0.0063
444.00	0.0063
445.00	0.0061
446.00	0.0065
447.00	0.0064
448.00	0.0058
449.00	0.0062
450.00	0.0060
451.00	0.0060
452.00	0.0061
453.00	0.0059
454.00	0.0061
455.00	0.0058
456.00	0.0057
457.00	0.0056
458.00	0.0057
459.00	0.0054
460.00	0.0053
461.00	0.0053
462.00	0.0051
463.00	0.0051
464.00	0.0047
465.00	0.0042
466.00	0.0042
467.00	0.0041
468.00	0.0037
469.00	0.0040
470.00	0.0034
471.00	0.0035
472.00	0.0034
473.00	0.0033
474.00	0.0029
475.00	0.0031
476.00	0.0027
477.00	0.0027
478.00	0.0025
479.00	0.0025
480.00	0.0027
481.00	0.0025
482.00	0.0025
483.00	0.0022
484.00	0.0022
485.00	0.0020
486.00	0.0022
487.00	0.0018
488.00	0.0022
489.00	0.0018
490.00	0.0021
491.00	0.0019
492.00	0.0019
493.00	0.0019
494.00	0.0017
495.00	0.0017
496.00	0.0017
497.00	0.0018
498.00	0.0018
499.00	0.0016
500.00	0.0016
501.00	0.0017
502.00	0.0017
503.00	0.0015
504.00	0.0016
505.00	0.0017
506.00	0.0018
507.00	0.0017
508.00	0.0017
509.00	0.0019
510.00	0.0018
511.00	0.0018
512.00	0.0017
513.00	0.0017
514.00	0.0016
515.00	0.0016
516.00	0.0019
517.00	0.0019
518.00	0.0019
519.00	0.0020
520.00	0.0019
521.00	0.0020
522.00	0.0019
523.00	0.0017
524.00	0.0020
525.00	0.0022
526.00	0.0021
527.00	0.0022
528.00	0.0022
529.00	0.0023
530.00	0.0024
531.00	0.0025
532.00	0.0024
533.00	0.0023
534.00	0.0026
535.00	0.0026
536.00	0.0025
537.00	0.0024
538.00	0.0025
539.00	0.0030
540.00	0.0029
541.00	0.0028
542.00	0.0029
543.00	0.0029
544.00	0.0028
545.00	0.0028
546.00	0.0031
547.00	0.0029
548.00	0.0029
549.00	0.0028
550.00	0.0026
551.00	0.0025
552.00	0.0024
553.00	0.0024
554.00	0.0023
555.00	0.0023
556.00	0.0020
557.00	0.0020
558.00	0.0020
559.00	0.0019
560.00	0.0017
561.00	0.0018
562.00	0.0018
563.00	0.0018
564.00	0.0016
565.00	0.0015
566.00	0.0016
567.00	0.0011
568.00	0.0011
569.00	0.0007
570.00	0.0003
571.00	0.0004
572.00	0.0002
573.00	-0.0001
574.00	-0.0003
575.00	-0.0006
576.00	-0.0008
577.00	-0.0008
578.00	-0.0007
579.00	-0.0008
580.00	-0.0008
581.00	-0.0009
582.00	-0.0008
583.00	-0.0010
584.00	-0.0011
585.00	-0.0008
586.00	-0.0008
587.00	-0.0007
588.00	-0.0006
589.00	-0.0006
590.00	-0.0008
591.00	-0.0005
592.00	-0.0005
593.00	-0.0006
594.00	-0.0003
595.00	-0.0005
596.00	-0.0005
597.00	-0.0006
598.00	-0.0003
599.00	-0.0003
600.00	-0.0003
601.00	-0.0003
602.00	-0.0003
603.00	0.0000
604.00	-0.0002
605.00	0.0001
606.00	0.0002
607.00	0.0002
608.00	0.0002
609.00	0.0005
610.00	0.0005
611.00	0.0008
612.00	0.0009
613.00	0.0009
614.00	0.0012
615.00	0.0013
616.00	0.0014
617.00	0.0016
618.00	0.0018
619.00	0.0019
620.00	0.0019
621.00	0.0021
622.00	0.0024
623.00	0.0026
