"File_250827_150347 - RawData"
"Wavelength nm."	"Abs."
350.00	-0.0213
351.00	-0.0270
352.00	-0.0331
353.00	-0.0379
354.00	-0.0429
355.00	-0.0463
356.00	-0.0493
357.00	-0.0520
358.00	-0.0542
359.00	-0.0535
360.00	-0.0535
361.00	-0.0523
362.00	-0.0505
363.00	-0.0490
364.00	-0.0451
365.00	-0.0427
366.00	-0.0392
367.00	-0.0348
368.00	-0.0296
369.00	-0.0227
370.00	-0.0179
371.00	-0.0106
372.00	-0.0045
373.00	0.0000
374.00	0.0053
375.00	0.0089
376.00	0.0120
377.00	0.0141
378.00	0.0155
379.00	0.0168
380.00	0.0180
381.00	0.0181
382.00	0.0193
383.00	0.0198
384.00	0.0199
385.00	0.0203
386.00	0.0203
387.00	0.0202
388.00	0.0203
389.00	0.0198
390.00	0.0198
391.00	0.0196
392.00	0.0197
393.00	0.0196
394.00	0.0205
395.00	0.0209
396.00	0.0211
397.00	0.0226
398.00	0.0238
399.00	0.0253
400.00	0.0261
401.00	0.0273
402.00	0.0284
403.00	0.0292
404.00	0.0299
405.00	0.0303
406.00	0.0305
407.00	0.0302
408.00	0.0304
409.00	0.0304
410.00	0.0299
411.00	0.0297
412.00	0.0296
413.00	0.0294
414.00	0.0293
415.00	0.0286
416.00	0.0288
417.00	0.0286
418.00	0.0282
419.00	0.0278
420.00	0.0278
421.00	0.0277
422.00	0.0276
423.00	0.0272
424.00	0.0276
425.00	0.0272
426.00	0.0271
427.00	0.0268
428.00	0.0269
429.00	0.0265
430.00	0.0263
431.00	0.0264
432.00	0.0262
433.00	0.0260
434.00	0.0263
435.00	0.0259
436.00	0.0256
437.00	0.0256
438.00	0.0256
439.00	0.0255
440.00	0.0251
441.00	0.0250
442.00	0.0253
443.00	0.0250
444.00	0.0250
445.00	0.0247
446.00	0.0248
447.00	0.0248
448.00	0.0242
449.00	0.0247
450.00	0.0244
451.00	0.0242
452.00	0.0243
453.00	0.0239
454.00	0.0243
455.00	0.0244
456.00	0.0243
457.00	0.0243
458.00	0.0242
459.00	0.0241
460.00	0.0243
461.00	0.0245
462.00	0.0245
463.00	0.0245
464.00	0.0240
465.00	0.0238
466.00	0.0240
467.00	0.0241
468.00	0.0238
469.00	0.0240
470.00	0.0239
471.00	0.0240
472.00	0.0240
473.00	0.0242
474.00	0.0244
475.00	0.0244
476.00	0.0245
477.00	0.0247
478.00	0.0247
479.00	0.0250
480.00	0.0255
481.00	0.0259
482.00	0.0263
483.00	0.0265
484.00	0.0270
485.00	0.0272
486.00	0.0279
487.00	0.0280
488.00	0.0288
489.00	0.0289
490.00	0.0295
491.00	0.0298
492.00	0.0306
493.00	0.0310
494.00	0.0316
495.00	0.0322
496.00	0.0327
497.00	0.0337
498.00	0.0345
499.00	0.0351
500.00	0.0361
501.00	0.0370
502.00	0.0382
503.00	0.0393
504.00	0.0406
505.00	0.0419
506.00	0.0431
507.00	0.0446
508.00	0.0459
509.00	0.0475
510.00	0.0489
511.00	0.0506
512.00	0.0525
513.00	0.0541
514.00	0.0558
515.00	0.0577
516.00	0.0597
517.00	0.0615
518.00	0.0635
519.00	0.0655
520.00	0.0675
521.00	0.0697
522.00	0.0720
523.00	0.0740
524.00	0.0764
525.00	0.0790
526.00	0.0816
527.00	0.0841
528.00	0.0868
529.00	0.0898
530.00	0.0929
531.00	0.0962
532.00	0.0993
533.00	0.1030
534.00	0.1065
535.00	0.1105
536.00	0.1147
537.00	0.1197
538.00	0.1242
539.00	0.1295
540.00	0.1346
541.00	0.1400
542.00	0.1455
543.00	0.1512
544.00	0.1570
545.00	0.1633
546.00	0.1696
547.00	0.1758
548.00	0.1822
549.00	0.1888
550.00	0.1952
551.00	0.2016
552.00	0.2086
553.00	0.2152
554.00	0.2219
555.00	0.2285
556.00	0.2347
557.00	0.2417
558.00	0.2482
559.00	0.2544
560.00	0.2607
561.00	0.2669
562.00	0.2730
563.00	0.2796
564.00	0.2856
565.00	0.2918
566.00	0.2981
567.00	0.3041
568.00	0.3112
569.00	0.3184
570.00	0.3260
571.00	0.3346
572.00	0.3431
573.00	0.3532
574.00	0.3639
575.00	0.3756
576.00	0.3883
577.00	0.4020
578.00	0.4168
579.00	0.4322
580.00	0.4490
581.00	0.4669
582.00	0.4857
583.00	0.5053
584.00	0.5258
585.00	0.5464
586.00	0.5678
587.00	0.5902
588.00	0.6126
589.00	0.6354
590.00	0.6587
591.00	0.6822
592.00	0.7061
593.00	0.7288
594.00	0.7519
595.00	0.7746
596.00	0.7969
597.00	0.8184
598.00	0.8394
599.00	0.8595
600.00	0.8784
601.00	0.8961
602.00	0.9125
603.00	0.9283
604.00	0.9421
605.00	0.9550
606.00	0.9662
607.00	0.9778
608.00	0.9882
609.00	0.9980
610.00	1.0084
611.00	1.0179
612.00	1.0282
613.00	1.0386
614.00	1.0500
615.00	1.0619
616.00	1.0753
617.00	1.0896
618.00	1.1076
619.00	1.1265
620.00	1.1482
621.00	1.1733
622.00	1.2004
623.00	1.2301
624.00	1.2639
625.00	1.3011
626.00	1.3411
627.00	1.3852
628.00	1.4329
629.00	1.4830
630.00	1.5376
631.00	1.5964
632.00	1.6560
633.00	1.7202
634.00	1.7873
635.00	1.8558
636.00	1.9291
637.00	1.9988
638.00	2.0740
639.00	2.1495
640.00	2.2213
641.00	2.2994
642.00	2.3710
643.00	2.4425
644.00	2.5114
645.00	2.5743
646.00	2.6315
647.00	2.6847
648.00	2.7279
649.00	2.7686
650.00	2.8032
651.00	2.8254
652.00	2.8470
653.00	2.8616
654.00	2.8689
655.00	2.8662
656.00	2.8600
657.00	2.8458
658.00	2.8190
659.00	2.7908
660.00	2.7525
661.00	2.7039
662.00	2.6467
663.00	2.5813
664.00	2.5040
665.00	2.4146
666.00	2.3260
667.00	2.2267
668.00	2.1161
669.00	2.0026
670.00	1.8864
671.00	1.7691
672.00	1.6507
673.00	1.5329
674.00	1.4163
675.00	1.3058
676.00	1.1948
677.00	1.0929
678.00	0.9947
679.00	0.8956
680.00	0.8084
681.00	0.7266
682.00	0.6495
683.00	0.5826
684.00	0.5192
685.00	0.4602
686.00	0.4079
687.00	0.3606
688.00	0.3196
689.00	0.2833
690.00	0.2509
691.00	0.2240
692.00	0.1992
693.00	0.1782
694.00	0.1597
695.00	0.1427
696.00	0.1279
697.00	0.1148
698.00	0.1042
699.00	0.0936
700.00	0.0849
701.00	0.0773
702.00	0.0706
703.00	0.0643
704.00	0.0586
705.00	0.0536
706.00	0.0489
707.00	0.0444
708.00	0.0400
709.00	0.0360
710.00	0.0321
711.00	0.0288
712.00	0.0255
713.00	0.0225
714.00	0.0194
715.00	0.0170
716.00	0.0144
717.00	0.0124
718.00	0.0104
719.00	0.0083
720.00	0.0075
721.00	0.0059
722.00	0.0042
723.00	0.0032
724.00	0.0021
725.00	0.0010
726.00	0.0004
727.00	-0.0005
728.00	-0.0008
729.00	-0.0018
730.00	-0.0023
731.00	-0.0027
732.00	-0.0034
733.00	-0.0034
734.00	-0.0041
735.00	-0.0042
736.00	-0.0045
737.00	-0.0047
738.00	-0.0054
739.00	-0.0052
740.00	-0.0059
741.00	-0.0057
742.00	-0.0060
743.00	-0.0061
744.00	-0.0060
745.00	-0.0064
746.00	-0.0065
747.00	-0.0066
748.00	-0.0069
749.00	-0.0073
750.00	-0.0073
751.00	-0.0068
752.00	-0.0076
753.00	-0.0071
754.00	-0.0078
755.00	-0.0078
756.00	-0.0077
757.00	-0.0079
758.00	-0.0077
759.00	-0.0084
760.00	-0.0084
761.00	-0.0093
762.00	-0.0088
763.00	-0.0087
764.00	-0.0093
765.00	-0.0092
766.00	-0.0092
767.00	-0.0095
768.00	-0.0096
769.00	-0.0097
770.00	-0.0098
771.00	-0.0094
772.00	-0.0097
773.00	-0.0097
774.00	-0.0095
775.00	-0.0099
776.00	-0.0100
777.00	-0.0098
778.00	-0.0097
779.00	-0.0101
780.00	-0.0100
781.00	-0.0096
782.00	-0.0104
783.00	-0.0101
784.00	-0.0096
785.00	-0.0097
786.00	-0.0103
787.00	-0.0106
788.00	-0.0102
789.00	-0.0099
790.00	-0.0103
791.00	-0.0106
792.00	-0.0104
793.00	-0.0101
794.00	-0.0103
795.00	-0.0102
796.00	-0.0100
797.00	-0.0099
798.00	-0.0100
799.00	-0.0103
800.00	-0.0098
801.00	-0.0097
802.00	-0.0098
803.00	-0.0097
804.00	-0.0096
805.00	-0.0098
806.00	-0.0099
807.00	-0.0102
808.00	-0.0097
809.00	-0.0103
810.00	-0.0099
811.00	-0.0097
812.00	-0.0103
813.00	-0.0094
814.00	-0.0094
815.00	-0.0096
816.00	-0.0096
817.00	-0.0098
818.00	-0.0101
819.00	-0.0104
820.00	-0.0104
821.00	-0.0096
822.00	-0.0098
823.00	-0.0098
824.00	-0.0099
825.00	-0.0101
826.00	-0.0102
827.00	-0.0103
828.00	-0.0098
829.00	-0.0094
830.00	-0.0091
831.00	-0.0106
832.00	-0.0103
833.00	-0.0097
834.00	-0.0096
835.00	-0.0094
836.00	-0.0097
837.00	-0.0102
838.00	-0.0105
839.00	-0.0098
840.00	-0.0098
841.00	-0.0105
842.00	-0.0099
843.00	-0.0105
844.00	-0.0110
845.00	-0.0100
846.00	-0.0098
847.00	-0.0106
848.00	-0.0098
849.00	-0.0100
850.00	-0.0098
851.00	-0.0094
852.00	-0.0100
853.00	-0.0113
854.00	-0.0100
855.00	-0.0114
856.00	-0.0126
857.00	-0.0089
858.00	-0.0090
859.00	-0.0091
860.00	-0.0096
861.00	-0.0116
862.00	-0.0093
863.00	-0.0105
864.00	-0.0100
865.00	-0.0073
866.00	-0.0088
867.00	-0.0060
868.00	-0.0079
869.00	-0.0057
870.00	-0.0091
871.00	-0.0028
872.00	-0.0122
873.00	-0.0104
874.00	-0.0062
875.00	-0.0030
876.00	-0.0054
877.00	-0.0050
878.00	-0.0104
879.00	-0.0046
880.00	-0.0044
881.00	-0.0044
882.00	-0.0083
883.00	-0.0073
884.00	-0.0047
885.00	-0.0022
886.00	-0.0078
887.00	-0.0061
888.00	-0.0044
889.00	-0.0045
890.00	-0.0102
891.00	-0.0054
892.00	-0.0060
893.00	-0.0010
894.00	-0.0117
895.00	-0.0118
896.00	-0.0102
897.00	-0.0047
898.00	-0.0124
899.00	-0.0019
900.00	-0.0012
