"File_250827_162712 - RawData"
"Wavelength nm."	"Abs."
350.00	0.3725
351.00	0.3763
352.00	0.3803
353.00	0.3866
354.00	0.3942
355.00	0.4030
356.00	0.4138
357.00	0.4271
358.00	0.4416
359.00	0.4603
360.00	0.4780
361.00	0.4957
362.00	0.5104
363.00	0.5165
364.00	0.5125
365.00	0.4981
366.00	0.4743
367.00	0.4485
368.00	0.4221
369.00	0.3982
370.00	0.3788
371.00	0.3623
372.00	0.3517
373.00	0.3428
374.00	0.3363
375.00	0.3301
376.00	0.3244
377.00	0.3186
378.00	0.3134
379.00	0.3083
380.00	0.3034
381.00	0.2986
382.00	0.2952
383.00	0.2924
384.00	0.2898
385.00	0.2877
386.00	0.2862
387.00	0.2849
388.00	0.2840
389.00	0.2828
390.00	0.2818
391.00	0.2807
392.00	0.2800
393.00	0.2794
394.00	0.2780
395.00	0.2773
396.00	0.2767
397.00	0.2760
398.00	0.2756
399.00	0.2759
400.00	0.2756
401.00	0.2761
402.00	0.2768
403.00	0.2779
404.00	0.2792
405.00	0.2808
406.00	0.2831
407.00	0.2847
408.00	0.2869
409.00	0.2891
410.00	0.2904
411.00	0.2919
412.00	0.2924
413.00	0.2922
414.00	0.2915
415.00	0.2900
416.00	0.2868
417.00	0.2830
418.00	0.2783
419.00	0.2726
420.00	0.2668
421.00	0.2603
422.00	0.2535
423.00	0.2466
424.00	0.2396
425.00	0.2324
426.00	0.2259
427.00	0.2196
428.00	0.2132
429.00	0.2075
430.00	0.2019
431.00	0.1967
432.00	0.1919
433.00	0.1879
434.00	0.1838
435.00	0.1802
436.00	0.1773
437.00	0.1741
438.00	0.1712
439.00	0.1686
440.00	0.1662
441.00	0.1639
442.00	0.1621
443.00	0.1603
444.00	0.1588
445.00	0.1565
446.00	0.1550
447.00	0.1532
448.00	0.1520
449.00	0.1502
450.00	0.1485
451.00	0.1471
452.00	0.1452
453.00	0.1438
454.00	0.1420
455.00	0.1405
456.00	0.1383
457.00	0.1365
458.00	0.1345
459.00	0.1327
460.00	0.1307
461.00	0.1288
462.00	0.1265
463.00	0.1245
464.00	0.1229
465.00	0.1208
466.00	0.1188
467.00	0.1172
468.00	0.1152
469.00	0.1135
470.00	0.1120
471.00	0.1105
472.00	0.1090
473.00	0.1074
474.00	0.1062
475.00	0.1047
476.00	0.1036
477.00	0.1023
478.00	0.1014
479.00	0.1005
480.00	0.0996
481.00	0.0986
482.00	0.0978
483.00	0.0971
484.00	0.0964
485.00	0.0960
486.00	0.0953
487.00	0.0948
488.00	0.0944
489.00	0.0941
490.00	0.0937
491.00	0.0936
492.00	0.0931
493.00	0.0932
494.00	0.0930
495.00	0.0928
496.00	0.0926
497.00	0.0927
498.00	0.0924
499.00	0.0928
500.00	0.0927
501.00	0.0932
502.00	0.0932
503.00	0.0932
504.00	0.0938
505.00	0.0938
506.00	0.0941
507.00	0.0944
508.00	0.0948
509.00	0.0950
510.00	0.0956
511.00	0.0959
512.00	0.0961
513.00	0.0968
514.00	0.0974
515.00	0.0980
516.00	0.0984
517.00	0.0991
518.00	0.0998
519.00	0.1003
520.00	0.1011
521.00	0.1018
522.00	0.1026
523.00	0.1031
524.00	0.1040
525.00	0.1047
526.00	0.1056
527.00	0.1067
528.00	0.1076
529.00	0.1081
530.00	0.1094
531.00	0.1103
532.00	0.1115
533.00	0.1126
534.00	0.1139
535.00	0.1150
536.00	0.1163
537.00	0.1178
538.00	0.1194
539.00	0.1209
540.00	0.1223
541.00	0.1239
542.00	0.1256
543.00	0.1274
544.00	0.1293
545.00	0.1309
546.00	0.1330
547.00	0.1347
548.00	0.1368
549.00	0.1387
550.00	0.1410
551.00	0.1430
552.00	0.1452
553.00	0.1478
554.00	0.1498
555.00	0.1522
556.00	0.1547
557.00	0.1573
558.00	0.1601
559.00	0.1622
560.00	0.1647
561.00	0.1672
562.00	0.1699
563.00	0.1722
564.00	0.1747
565.00	0.1773
566.00	0.1800
567.00	0.1826
568.00	0.1851
569.00	0.1881
570.00	0.1907
571.00	0.1936
572.00	0.1966
573.00	0.1995
574.00	0.2024
575.00	0.2056
576.00	0.2088
577.00	0.2124
578.00	0.2158
579.00	0.2194
580.00	0.2232
581.00	0.2270
582.00	0.2308
583.00	0.2348
584.00	0.2392
585.00	0.2433
586.00	0.2476
587.00	0.2523
588.00	0.2565
589.00	0.2616
590.00	0.2660
591.00	0.2712
592.00	0.2766
593.00	0.2818
594.00	0.2870
595.00	0.2929
596.00	0.2988
597.00	0.3046
598.00	0.3106
599.00	0.3167
600.00	0.3230
601.00	0.3297
602.00	0.3364
603.00	0.3431
604.00	0.3497
605.00	0.3565
606.00	0.3636
607.00	0.3703
608.00	0.3774
609.00	0.3849
610.00	0.3921
611.00	0.3994
612.00	0.4073
613.00	0.4154
614.00	0.4232
615.00	0.4311
616.00	0.4392
617.00	0.4470
618.00	0.4553
619.00	0.4631
620.00	0.4715
621.00	0.4794
622.00	0.4874
623.00	0.4956
624.00	0.5037
625.00	0.5124
626.00	0.5203
627.00	0.5284
628.00	0.5370
629.00	0.5453
630.00	0.5540
631.00	0.5624
632.00	0.5707
633.00	0.5798
634.00	0.5884
635.00	0.5973
636.00	0.6063
637.00	0.6150
638.00	0.6241
639.00	0.6339
640.00	0.6434
641.00	0.6530
642.00	0.6636
643.00	0.6738
644.00	0.6848
645.00	0.6961
646.00	0.7074
647.00	0.7185
648.00	0.7299
649.00	0.7417
650.00	0.7538
651.00	0.7664
652.00	0.7791
653.00	0.7926
654.00	0.8062
655.00	0.8205
656.00	0.8348
657.00	0.8496
658.00	0.8647
659.00	0.8795
660.00	0.8948
661.00	0.9104
662.00	0.9269
663.00	0.9428
664.00	0.9590
665.00	0.9759
666.00	0.9923
667.00	1.0086
668.00	1.0263
669.00	1.0436
670.00	1.0614
671.00	1.0789
672.00	1.0968
673.00	1.1139
674.00	1.1318
675.00	1.1495
676.00	1.1678
677.00	1.1849
678.00	1.2016
679.00	1.2203
680.00	1.2378
681.00	1.2543
682.00	1.2721
683.00	1.2886
684.00	1.3049
685.00	1.3218
686.00	1.3379
687.00	1.3528
688.00	1.3685
689.00	1.3845
690.00	1.3976
691.00	1.4111
692.00	1.4239
693.00	1.4367
694.00	1.4487
695.00	1.4613
696.00	1.4731
697.00	1.4836
698.00	1.4956
699.00	1.5069
700.00	1.5189
701.00	1.5303
702.00	1.5419
703.00	1.5532
704.00	1.5665
705.00	1.5794
706.00	1.5916
707.00	1.6053
708.00	1.6200
709.00	1.6365
710.00	1.6533
711.00	1.6721
712.00	1.6925
713.00	1.7139
714.00	1.7359
715.00	1.7613
716.00	1.7888
717.00	1.8168
718.00	1.8496
719.00	1.8815
720.00	1.9208
721.00	1.9557
722.00	1.9969
723.00	2.0385
724.00	2.0835
725.00	2.1295
726.00	2.1771
727.00	2.2291
728.00	2.2827
729.00	2.3364
730.00	2.3908
731.00	2.4484
732.00	2.5069
733.00	2.5636
734.00	2.6190
735.00	2.6748
736.00	2.7284
737.00	2.7802
738.00	2.8285
739.00	2.8778
740.00	2.9225
741.00	2.9707
742.00	3.0081
743.00	3.0473
744.00	3.0694
745.00	3.1037
746.00	3.1202
747.00	3.1534
748.00	3.1639
749.00	3.1762
750.00	3.1920
751.00	3.1983
752.00	3.2045
753.00	3.2104
754.00	3.2126
755.00	3.2185
756.00	3.2256
757.00	3.2213
758.00	3.2201
759.00	3.2266
760.00	3.2308
761.00	3.4030
762.00	3.3806
763.00	3.3857
764.00	3.3821
765.00	3.3837
766.00	3.3666
767.00	3.3576
768.00	3.3443
769.00	3.3283
770.00	3.3176
771.00	3.2978
772.00	3.2919
773.00	3.2619
774.00	3.2377
775.00	3.1975
776.00	3.1522
777.00	3.0987
778.00	3.0327
779.00	2.9457
780.00	2.8440
781.00	2.7555
782.00	2.6408
783.00	2.5191
784.00	2.3984
785.00	2.2726
786.00	2.1544
787.00	2.0345
788.00	1.9139
789.00	1.7997
790.00	1.6851
791.00	1.5776
792.00	1.4770
793.00	1.3782
794.00	1.2881
795.00	1.1970
796.00	1.1113
797.00	1.0337
798.00	0.9582
799.00	0.8843
800.00	0.8206
801.00	0.7593
802.00	0.7038
803.00	0.6513
804.00	0.6024
805.00	0.5561
806.00	0.5143
807.00	0.4752
808.00	0.4413
809.00	0.4079
810.00	0.3765
811.00	0.3485
812.00	0.3214
813.00	0.2983
814.00	0.2763
815.00	0.2551
816.00	0.2372
817.00	0.2209
818.00	0.2042
819.00	0.1898
820.00	0.1762
821.00	0.1631
822.00	0.1509
823.00	0.1403
824.00	0.1300
825.00	0.1209
826.00	0.1125
827.00	0.1031
828.00	0.0959
829.00	0.0891
830.00	0.0833
831.00	0.0775
832.00	0.0721
833.00	0.0669
834.00	0.0636
835.00	0.0600
836.00	0.0558
837.00	0.0514
838.00	0.0500
839.00	0.0466
840.00	0.0435
841.00	0.0430
842.00	0.0407
843.00	0.0387
844.00	0.0358
845.00	0.0357
846.00	0.0344
847.00	0.0328
848.00	0.0318
849.00	0.0313
850.00	0.0284
851.00	0.0291
852.00	0.0306
853.00	0.0268
854.00	0.0283
855.00	0.0297
856.00	0.0278
857.00	0.0264
858.00	0.0278
859.00	0.0305
860.00	0.0302
861.00	0.0282
862.00	0.0279
863.00	0.0275
864.00	0.0300
865.00	0.0273
866.00	0.0293
867.00	0.0305
868.00	0.0303
869.00	0.0334
870.00	0.0361
871.00	0.0351
872.00	0.0414
873.00	0.0377
874.00	0.0396
