"File_250827_161311 - RawData"
"Wavelength nm."	"Abs."
350.00	-0.0259
351.00	-0.0316
352.00	-0.0363
353.00	-0.0409
354.00	-0.0461
355.00	-0.0494
356.00	-0.0525
357.00	-0.0549
358.00	-0.0563
359.00	-0.0556
360.00	-0.0548
361.00	-0.0543
362.00	-0.0515
363.00	-0.0490
364.00	-0.0459
365.00	-0.0430
366.00	-0.0396
367.00	-0.0339
368.00	-0.0284
369.00	-0.0212
370.00	-0.0148
371.00	-0.0086
372.00	-0.0021
373.00	0.0044
374.00	0.0089
375.00	0.0134
376.00	0.0156
377.00	0.0177
378.00	0.0196
379.00	0.0209
380.00	0.0216
381.00	0.0220
382.00	0.0228
383.00	0.0231
384.00	0.0234
385.00	0.0232
386.00	0.0235
387.00	0.0232
388.00	0.0231
389.00	0.0230
390.00	0.0224
391.00	0.0226
392.00	0.0221
393.00	0.0224
394.00	0.0225
395.00	0.0229
396.00	0.0237
397.00	0.0243
398.00	0.0249
399.00	0.0259
400.00	0.0274
401.00	0.0280
402.00	0.0292
403.00	0.0294
404.00	0.0295
405.00	0.0301
406.00	0.0305
407.00	0.0300
408.00	0.0300
409.00	0.0301
410.00	0.0297
411.00	0.0295
412.00	0.0290
413.00	0.0290
414.00	0.0284
415.00	0.0284
416.00	0.0280
417.00	0.0278
418.00	0.0277
419.00	0.0274
420.00	0.0272
421.00	0.0274
422.00	0.0271
423.00	0.0270
424.00	0.0269
425.00	0.0266
426.00	0.0265
427.00	0.0267
428.00	0.0261
429.00	0.0263
430.00	0.0257
431.00	0.0256
432.00	0.0258
433.00	0.0258
434.00	0.0255
435.00	0.0254
436.00	0.0252
437.00	0.0250
438.00	0.0249
439.00	0.0249
440.00	0.0248
441.00	0.0247
442.00	0.0248
443.00	0.0248
444.00	0.0247
445.00	0.0244
446.00	0.0242
447.00	0.0244
448.00	0.0243
449.00	0.0241
450.00	0.0242
451.00	0.0242
452.00	0.0241
453.00	0.0241
454.00	0.0241
455.00	0.0242
456.00	0.0238
457.00	0.0240
458.00	0.0237
459.00	0.0241
460.00	0.0238
461.00	0.0241
462.00	0.0237
463.00	0.0237
464.00	0.0239
465.00	0.0239
466.00	0.0239
467.00	0.0241
468.00	0.0236
469.00	0.0237
470.00	0.0240
471.00	0.0240
472.00	0.0241
473.00	0.0244
474.00	0.0244
475.00	0.0245
476.00	0.0246
477.00	0.0246
478.00	0.0249
479.00	0.0254
480.00	0.0254
481.00	0.0258
482.00	0.0261
483.00	0.0263
484.00	0.0266
485.00	0.0271
486.00	0.0276
487.00	0.0279
488.00	0.0281
489.00	0.0286
490.00	0.0288
491.00	0.0294
492.00	0.0296
493.00	0.0302
494.00	0.0307
495.00	0.0311
496.00	0.0317
497.00	0.0324
498.00	0.0330
499.00	0.0336
500.00	0.0345
501.00	0.0356
502.00	0.0363
503.00	0.0374
504.00	0.0386
505.00	0.0395
506.00	0.0406
507.00	0.0418
508.00	0.0433
509.00	0.0446
510.00	0.0461
511.00	0.0476
512.00	0.0489
513.00	0.0509
514.00	0.0521
515.00	0.0537
516.00	0.0553
517.00	0.0571
518.00	0.0588
519.00	0.0607
520.00	0.0626
521.00	0.0646
522.00	0.0667
523.00	0.0686
524.00	0.0707
525.00	0.0728
526.00	0.0752
527.00	0.0775
528.00	0.0801
529.00	0.0826
530.00	0.0853
531.00	0.0884
532.00	0.0909
533.00	0.0943
534.00	0.0977
535.00	0.1010
536.00	0.1050
537.00	0.1089
538.00	0.1132
539.00	0.1174
540.00	0.1223
541.00	0.1269
542.00	0.1320
543.00	0.1370
544.00	0.1422
545.00	0.1476
546.00	0.1532
547.00	0.1586
548.00	0.1644
549.00	0.1702
550.00	0.1761
551.00	0.1818
552.00	0.1877
553.00	0.1938
554.00	0.1995
555.00	0.2056
556.00	0.2115
557.00	0.2175
558.00	0.2236
559.00	0.2290
560.00	0.2345
561.00	0.2402
562.00	0.2458
563.00	0.2512
564.00	0.2566
565.00	0.2621
566.00	0.2680
567.00	0.2737
568.00	0.2799
569.00	0.2866
570.00	0.2935
571.00	0.3015
572.00	0.3094
573.00	0.3182
574.00	0.3281
575.00	0.3387
576.00	0.3499
577.00	0.3623
578.00	0.3756
579.00	0.3895
580.00	0.4047
581.00	0.4207
582.00	0.4370
583.00	0.4546
584.00	0.4729
585.00	0.4915
586.00	0.5111
587.00	0.5314
588.00	0.5510
589.00	0.5723
590.00	0.5931
591.00	0.6144
592.00	0.6364
593.00	0.6579
594.00	0.6787
595.00	0.7003
596.00	0.7210
597.00	0.7410
598.00	0.7601
599.00	0.7786
600.00	0.7965
601.00	0.8135
602.00	0.8292
603.00	0.8437
604.00	0.8569
605.00	0.8691
606.00	0.8808
607.00	0.8915
608.00	0.9019
609.00	0.9112
610.00	0.9202
611.00	0.9293
612.00	0.9394
613.00	0.9499
614.00	0.9604
615.00	0.9725
616.00	0.9856
617.00	1.0001
618.00	1.0169
619.00	1.0358
620.00	1.0569
621.00	1.0804
622.00	1.1066
623.00	1.1361
624.00	1.1692
625.00	1.2060
626.00	1.2447
627.00	1.2880
628.00	1.3349
629.00	1.3852
630.00	1.4396
631.00	1.4972
632.00	1.5565
633.00	1.6219
634.00	1.6890
635.00	1.7593
636.00	1.8335
637.00	1.9058
638.00	1.9830
639.00	2.0627
640.00	2.1410
641.00	2.2185
642.00	2.2965
643.00	2.3709
644.00	2.4445
645.00	2.5125
646.00	2.5780
647.00	2.6323
648.00	2.6818
649.00	2.7255
650.00	2.7637
651.00	2.7892
652.00	2.8145
653.00	2.8288
654.00	2.8333
655.00	2.8373
656.00	2.8280
657.00	2.8145
658.00	2.7885
659.00	2.7549
660.00	2.7100
661.00	2.6592
662.00	2.5932
663.00	2.5219
664.00	2.4375
665.00	2.3461
666.00	2.2460
667.00	2.1391
668.00	2.0235
669.00	1.9055
670.00	1.7843
671.00	1.6652
672.00	1.5453
673.00	1.4269
674.00	1.3118
675.00	1.2034
676.00	1.0965
677.00	0.9967
678.00	0.9041
679.00	0.8114
680.00	0.7316
681.00	0.6553
682.00	0.5840
683.00	0.5221
684.00	0.4647
685.00	0.4112
686.00	0.3649
687.00	0.3232
688.00	0.2863
689.00	0.2535
690.00	0.2245
691.00	0.2007
692.00	0.1795
693.00	0.1603
694.00	0.1444
695.00	0.1296
696.00	0.1165
697.00	0.1057
698.00	0.0964
699.00	0.0870
700.00	0.0790
701.00	0.0724
702.00	0.0670
703.00	0.0612
704.00	0.0561
705.00	0.0514
706.00	0.0474
707.00	0.0434
708.00	0.0398
709.00	0.0364
710.00	0.0331
711.00	0.0299
712.00	0.0272
713.00	0.0244
714.00	0.0221
715.00	0.0197
716.00	0.0174
717.00	0.0157
718.00	0.0142
719.00	0.0125
720.00	0.0118
721.00	0.0105
722.00	0.0094
723.00	0.0084
724.00	0.0076
725.00	0.0070
726.00	0.0062
727.00	0.0055
728.00	0.0047
729.00	0.0043
730.00	0.0042
731.00	0.0034
732.00	0.0037
733.00	0.0031
