,DO-PC-concentrada.Sample,
"Wavelength","Abs",
491.000,-0.005503464,
492.000,-0.005922751,
493.000,-0.006322967,
494.000,-0.006576836,
495.000,-0.006964164,
496.000,-0.007514169,
497.000,-0.007702791,
498.000,-0.008179344,
499.000,-0.00839548,
500.000,-0.008598521,
501.000,-0.008987114,
502.000,-0.009184599,
503.000,-0.009354525,
504.000,-0.009505704,
505.000,-0.009654057,
506.000,-0.009770831,
507.000,-0.01000941,
508.000,-0.01012812,
509.000,-0.01023291,
510.000,-0.01041471,
511.000,-0.01039439,
512.000,-0.01051995,
513.000,-0.01069412,
514.000,-0.01079288,
515.000,-0.01066057,
516.000,-0.01085554,
517.000,-0.01085077,
518.000,-0.01105324,
519.000,-0.01111369,
520.000,-0.0112227,
521.000,-0.01138079,
522.000,-0.01141796,
523.000,-0.01145565,
524.000,-0.01159606,
525.000,-0.01168929,
526.000,-0.0118307,
527.000,-0.01183416,
528.000,-0.01207146,
529.000,-0.01216714,
530.000,-0.01224453,
531.000,-0.01226407,
532.000,-0.01239566,
533.000,-0.01257029,
534.000,-0.01248663,
535.000,-0.01268348,
536.000,-0.01257007,
537.000,-0.01276235,
538.000,-0.01282847,
539.000,-0.01288272,
540.000,-0.012888,
541.000,-0.01302743,
542.000,-0.01309495,
543.000,-0.01308057,
544.000,-0.01319997,
545.000,-0.01318239,
546.000,-0.01337225,
547.000,-0.01327779,
548.000,-0.01336883,
549.000,-0.01331293,
550.000,-0.01351177,
551.000,-0.01341103,
552.000,-0.01341747,
553.000,-0.01357294,
554.000,-0.01337526,
555.000,-0.01354271,
556.000,-0.01353336,
557.000,-0.01356346,
558.000,-0.01365108,
559.000,-0.01364299,
560.000,-0.01366384,
561.000,-0.01357621,
562.000,-0.01343826,
563.000,-0.01348285,
564.000,-0.01361241,
565.000,-0.01346695,
566.000,-0.01347496,
567.000,-0.01345326,
568.000,-0.0133904,
569.000,-0.01329189,
570.000,-0.01341171,
571.000,-0.01333319,
572.000,-0.01330111,
573.000,-0.01332452,
574.000,-0.01320771,
575.000,-0.01324955,
576.000,-0.01314244,
577.000,-0.01313508,
578.000,-0.01314252,
579.000,-0.01301228,
580.000,-0.01297311,
581.000,-0.01298161,
582.000,-0.0129334,
583.000,-0.01284249,
584.000,-0.01283718,
585.000,-0.01275555,
586.000,-0.01259342,
587.000,-0.01262952,
588.000,-0.01271641,
589.000,-0.01245042,
590.000,-0.01239838,
591.000,-0.0124577,
592.000,-0.01245531,
593.000,-0.01247939,
594.000,-0.01236433,
595.000,-0.01249439,
596.000,-0.01230137,
597.000,-0.01246936,
598.000,-0.01226492,
599.000,-0.01237219,
600.000,-0.01245946,
601.000,-0.01240712,
602.000,-0.01244876,
603.000,-0.01235486,
604.000,-0.012395,
605.000,-0.01257141,
606.000,-0.01247254,
607.000,-0.01255939,
608.000,-0.01259069,
609.000,-0.01265816,
610.000,-0.01255667,
611.000,-0.01268394,
612.000,-0.01278154,
613.000,-0.01303397,
614.000,-0.01280978,
615.000,-0.01287123,
616.000,-0.01271023,
617.000,-0.01282439,
618.000,-0.01294548,
619.000,-0.01268052,
620.000,-0.01279257,
621.000,-0.01276487,
622.000,-0.01264788,
623.000,-0.01260049,
624.000,-0.01243938,
625.000,-0.01251834,
626.000,-0.01238398,
627.000,-0.01237127,
628.000,-0.01213981,
629.000,-0.01204917,
630.000,-0.01204214,
631.000,-0.01187202,
632.000,-0.01167578,
633.000,-0.01161592,
634.000,-0.011487,
635.000,-0.01138785,
636.000,-0.01118244,
637.000,-0.01114634,
638.000,-0.01105434,
639.000,-0.01083015,
640.000,-0.0107391,
641.000,-0.01056474,
642.000,-0.01022749,
643.000,-0.01042442,
644.000,-0.01024663,
645.000,-0.009985071,
646.000,-0.009916693,
647.000,-0.009814123,
648.000,-0.009750422,
649.000,-0.009661652,
650.000,-0.009684459,
651.000,-0.009653484,
652.000,-0.009719452,
653.000,-0.009595905,
654.000,-0.009703796,
655.000,-0.009761311,
656.000,-0.009824315,
657.000,-0.009819959,
658.000,-0.009966523,
659.000,-0.009951939,
660.000,-0.01027809,
661.000,-0.01051865,
662.000,-0.01053774,
663.000,-0.01084434,
664.000,-0.01100159,
665.000,-0.01129352,
666.000,-0.0115983,
667.000,-0.01186694,
668.000,-0.01206859,
669.000,-0.01236877,
670.000,-0.01265744,
671.000,-0.01304865,
672.000,-0.01333306,
673.000,-0.01355573,
674.000,-0.01382747,
675.000,-0.01415236,
676.000,-0.01439881,
677.000,-0.0146999,
678.000,-0.01487762,
679.000,-0.01509193,
680.000,-0.01536677,
681.000,-0.01558526,
682.000,-0.01576266,
683.000,-0.01587273,
684.000,-0.01620764,
685.000,-0.01628071,
686.000,-0.01654609,
687.000,-0.01662337,
688.000,-0.01680575,
689.000,-0.01683399,
690.000,-0.01692399,
691.000,-0.01695941,
692.000,-0.01709934,
693.000,-0.01721705,
694.000,-0.01728639,
695.000,-0.01726929,
696.000,-0.01737643,
697.000,-0.01745761,
698.000,-0.01750017,
699.000,-0.01756075,
700.000,-0.0176447,
701.000,-0.01759297,
702.000,-0.01758384,
703.000,-0.01779785,
704.000,-0.01770242,
705.000,-0.01783607,
706.000,-0.01775559,
707.000,-0.01796315,
708.000,-0.01790247,
709.000,-0.01797558,
710.000,-0.01802506,
711.000,-0.01812555,
712.000,-0.01818457,
713.000,-0.01813435,
714.000,-0.01814756,
715.000,-0.01817166,
716.000,-0.01823883,
717.000,-0.01823213,
718.000,-0.01818662,
719.000,-0.0182425,
720.000,-0.01825313,
721.000,-0.01814453,
722.000,-0.01828174,
723.000,-0.01821691,
724.000,-0.01830868,
725.000,-0.01818365,
726.000,-0.01832235,
727.000,-0.01822654,
728.000,-0.01828577,
729.000,-0.01832524,
730.000,-0.01837361,
731.000,-0.01834697,
732.000,-0.0183656,
733.000,-0.01842031,
734.000,-0.01832407,
735.000,-0.01839105,
736.000,-0.01841248,
737.000,-0.01846724,
738.000,-0.01844621,
739.000,-0.01847735,
740.000,-0.01848526,
741.000,-0.01846559,
742.000,-0.01838025,
743.000,-0.01838869,
744.000,-0.0185242,
745.000,-0.01839113,
746.000,-0.01840376,
747.000,-0.01845592,
748.000,-0.01848575,
749.000,-0.01848542,
750.000,-0.01852106,
751.000,-0.01841266,
752.000,-0.01859759,
753.000,-0.01849042,
754.000,-0.01849994,
755.000,-0.01847639,
756.000,-0.01846505,
757.000,-0.01838803,
758.000,-0.01843908,
759.000,-0.01853921,
760.000,-0.01832193,
761.000,-0.01856379,
762.000,-0.01848923,
763.000,-0.01833279,
764.000,-0.01847726,
765.000,-0.01842726,
766.000,-0.01837464,
767.000,-0.01835741,
768.000,-0.01836377,
769.000,-0.0183683,
770.000,-0.01848042,
771.000,-0.01838235,
772.000,-0.01846668,
773.000,-0.01839687,
774.000,-0.01827828,
775.000,-0.01810777,
776.000,-0.01825412,
777.000,-0.01824781,
778.000,-0.01818451,
779.000,-0.01824729,
780.000,-0.01842955,
781.000,-0.01825528,
782.000,-0.01822774,
783.000,-0.01820941,
784.000,-0.01832063,
785.000,-0.01819592,
786.000,-0.01813876,
787.000,-0.01815302,
788.000,-0.01813257,
789.000,-0.01808884,
790.000,-0.01815155,
791.000,-0.01804605,
792.000,-0.01813636,
793.000,-0.01810853,
794.000,-0.01796497,
795.000,-0.01787327,
796.000,-0.01783848,
797.000,-0.0178712,
798.000,-0.01774453,
799.000,-0.01781877,
800.000,-0.01777429,
